sample_id,group,Acutalibacteraceae bacterium,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia muciniphila,Alistipes,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes sp.,Anaerobutyricum hallii,Anaerostipes hadrus,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales bacterium,Bacteroides,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,Bacteroides intestinalis,Bacteroides ovatus,Bacteroides sp.,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides xylanisolvens,Barnesiella intestinihominis,Barnesiella sp.,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Blautia,Blautia massiliensis (ex Durand et al. 2017),Blautia sp.,Blautia sp. OF11-22,Blautia wexlerae,Brotocaccenecus cirricatena,Caudoviricetes sp.,Christensenellaceae bacterium,Christensenellales bacterium,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridium sp.,Clostridium sp. AF34-10BH,Collinsella sp.,Coprococcus eutactus,Dialister sp.,Enterocloster bolteae,Escherichia albertii B156,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii M21/2,Flavobacterium tibetense,Fusibacter tunisiensis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira pectinoschiza,Lachnospira sp.,Mediterraneibacter faecis,Oscillibacter hominis,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides leei,Phascolarctobacterium faecium,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola CAG:162,Phocaeicola coprophilus CAG:333,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Prevotella pectinovora,Prevotella sp. tf2-5,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Segatella,Slackia exigua,Streptomyces sp. DSM 41524,Subdoligranulum sp. AF14-43,Veillonellaceae bacterium
SRR24908049,controle,8256,76577,6935,18425,9365,73017,13784,3554,29888,9599,22687,3202,5769,474,16083,9309,162404,21801,2372,88650,318353,8238,3637,220286,2252,2873,13012,636,2380,46378,25375,21738,77781,9438,1738,1267,2287,571,13106,2264,3087,148,8556,1005,23697,3551,6114,59193,950,39578,19202,5462,705,2094,1305,851,6993,987,64170,13194,1196,30472,18221,1493,2954,3016,7380,3895,7703,770,8881,28180,46080,1849,8063,5249,61666,1588,5283,7613,209,37967,394,1052,127807,30474,2451,6930,30983,2842,3,10595,23364,4107,15332,31392,2051,593,3486,2067,563
SRR24907984,controle,119870,116314,8311,32053,164634,595737,51181,86070,137874,21110,136572,64326,52784,25186,101279,514647,425093,76584,12041,16033,516764,25395,93477,4105,150144,24321,15245,2056,16762,49262,63026,41957,157127,28297,23621,17905,3133,2833,45775,8157,45341,3425,37521,22823,369728,98116,250181,346711,46193,1259331,150096,3049,15477,94874,2501,4989,39208,199996,349518,117315,26347,325427,448775,31669,100146,43842,81717,26829,146163,23358,279329,186095,503005,6142,130596,15579,1541765,61521,49697,37566,11030,155410,10602,1326,417225,2897,344413,23333,143453,289586,31335,76174,100042,122967,112862,123658,3182349,5885,23137,36734,11159
SRR6784591,controle,738656,151385,17997,60437,116138,809607,293310,48577,401217,26719,399459,11488,4491,11223,132331,1053106,138668,340998,7367,11614,3691825,91221,55367,918962,11476,29839,142667,2512,256515,140002,334208,131457,2369373,86049,182045,96851,20861,34736,13397,6305,13860,3575,22810,173569,282144,64719,219700,168927,22182,2284090,65143,497,254833,11247,7488,8560,147266,39052,67727,446263,70091,1049270,787941,81149,62569,73797,70498,222422,306015,30568,4536,68664,86263,6086,527388,40639,4362741,560501,313106,526248,498,246375,6452,4289,197306,188948,14148,40548,389586,1050731,4090,86897,138494,12700,97286,505286,67770,6903,106187,32571,5158
SRR24907983,controle,11422,430517,48415,73694,2297,221766,8189,19204,53748,20878,54297,22728,37727,3899,70112,27126,247022,107573,8753,40849,835099,133077,22877,4341,7528,11412,31808,1932,9507,63716,83580,108239,257895,31759,118198,73710,3772,5253,17617,3510,8383,1031,21424,2002,215452,1193,6685,51517,4321,87100,97924,26407,2859,2362,2550,4667,46896,4771,92299,95193,22413,436000,127249,6316,25248,31049,146968,7501,37197,2678,115463,107317,203827,4602,39814,6340,80211,107611,90872,57271,29785,160966,58961,265950,760337,5002,345435,47472,145160,1966998,108682,17390,19265,20945,24400,19000,8975399,3080,22390,29002,1161
SRR24907892,controle,1348,64612,5357,41737,220582,200971,3316,7549,69600,39760,60211,9279,33902,650,23393,9968,33921,113827,7188,5902,161904,43284,40082,2887,2487,8360,16960,600,8286,24061,44157,55223,36044,13028,2006,1031,2689,604,25646,1754,5360,438,15414,521,175933,479,1090,4827,1047,15171,24277,1727,1697,1155,780,1047,26816,3053,63894,45711,6754,100049,67869,2161,7672,8378,13427,13319,25784,838,12285,41228,66552,1848,6021,23972,46618,29944,22651,20217,3587,334745,327308,2005,297234,3304,208326,33155,322894,7062,62,82106,202089,22239,1916,142508,3459,840,10257,3152,508
SRR24908007,controle,801,56525,5388,13106,930,114697,3270,48522,1336,1863,23371,6200,9752,5874,12935,3865,15389,158386,1054,2467,507161,57271,67235,2904,2273,10004,22294,1339,12962,86437,57918,20457,120286,21084,1933,991,5192,1306,24875,554,4207,276,14720,203,20167,452,776,2872,1462,8263,5989,56,501,279,251,2529,30105,956,13370,8766,867,36719,10645,2038,9606,111,1420,431,776,271,45626,27681,14175,1524,1521,5304,5856,70116,51466,53514,2971,522703,1410,830,89601,5208,2627,27875,442667,4666,38,1059,3527,1570,851,21687,2811,495,488,939,111
ERR912079,controle,14538,10589,739,3877,443887,109285,3956,11744,14374,59534,1962283,5377,7097,4214,75419,399530,201447,321342,40045,1673577,476727,176517,29084,5981,2811,8108,24305,5333,5599,174471,124697,51562,54861,41720,4884,2055,13668,4474,19098,3355,11834,890,14673,29206,675153,37883,47070,79959,5636,1683905,1848513,1566,7944,28359,17566,4012,124531,796906,25790,279652,29407,958208,1242727,52027,29305,1873,19640,4515,15515,21144,10830,57084,60436,4976,343059,28071,979696,12826,65137,13207,768,268670,129820,4058,600459,3275,16682,61941,349661,164722,101156,2388,2601,7737,5720,45671,1024942,4432,6505,10113,5580
SRR24907871,controle,106786,609810,73798,126160,250265,695470,129400,59375,14075,172380,145690,6437,8436,1808,79364,379307,105691,202557,2043,9494,1315768,113509,227666,6458,7331,8499,40924,7826,38131,177472,109469,112657,290093,103984,9583,2478,21316,4485,27632,2898,15967,4085,23241,4490,142420,1960,7475,22459,16097,189709,55296,8177,8757,12427,1475,8098,58679,14022,65915,188708,33070,439414,360773,18789,97577,46420,78835,58113,134160,9554,27058,175325,120115,6907,69756,27214,750700,159998,43596,271546,8576,683294,2868,475,50352,3944,6896,28448,594253,7733,23,12694,14278,31871,35266,76652,4116,2321,46940,17699,1937
SRR24907957,controle,3277,22186,1746,7538,1769,115017,32732,12696,33831,4327,29884,14751,9239,924,12869,28937,73650,132609,888,3148,408881,39454,3450,4282,4034,2863,14672,1741,2973,81853,42209,102872,126865,23587,2416,888,1163,1117,10988,1776,4096,290,5502,521,23400,1152,1254,10431,2428,37124,18807,5271,1818,631,572,1334,45078,696,9597,13011,4296,26784,14103,3018,3081,2475,8892,578,3855,1093,56247,15615,37052,1128,8573,3696,38087,201030,133082,60514,1654,369822,1144,375,35488,3333,2002,18545,327904,4139,87,12981,25290,17793,4776,32928,1919,531,1785,1884,616
SRR24907906,controle,23383,59408,5244,14204,89897,343329,30894,139259,39313,6077,69799,2304,11499,582,33287,7928,28274,84489,647,9703,403615,4350,2858,2432,2109,2489,45195,2081,2744,61540,38130,32127,158044,31563,4284,967,2388,1561,82824,2426,15767,1503,48935,1145,28935,602,1980,3302,2908,20927,18959,3739,1153,2112,702,3295,20866,5590,10805,60336,18724,136596,76153,4133,40746,11621,14136,22970,42120,3258,13999,74135,38575,1979,5331,7591,117479,568,6055,6997,2529,230210,1399,130,24879,1158,1646,12758,223690,22299,1957,9784,25435,29283,47578,35761,29827,916,17758,5034,1833
SRR6784406,controle,9009,1009324,83514,316598,18140,772378,148978,119750,632498,24947,353013,51532,200592,47583,161302,75721,360921,1235296,37531,70953,11055224,1475532,1253989,38301,42143,67711,853973,20463,126507,998724,513243,2584461,2355880,244488,22026,5010,27921,26241,40243,15609,28792,1868,47783,46089,355735,8584,8427,367630,31651,694918,530194,30739,16411,7288,2712,4665,185445,17950,392920,151896,30388,433935,210160,33967,29772,30381,53037,75236,106887,11165,179043,229806,922587,22423,120827,29009,262833,685911,269961,1350391,8192,2769516,10547,11793,612526,29467,18999,255853,3019460,69029,3564,1652029,809950,64472,14465,152627,131676,10058,38958,15960,2949
SRR8557024,controle,1094,141390,13760,34985,1344,162258,35483,11062,32049,17630,27385,6697,8868,4176,28252,46488,10576,82192,818,1684,311786,18296,3189,1566,15981,2047,5383,834,4342,31134,40334,18980,79118,21176,2060,949,2107,446,12200,2519,6242,690,10557,2060,30937,4979,27511,17680,6461,108902,22317,342,1112,5297,172,1522,10674,3227,44206,58242,6801,157439,81862,3524,15601,18051,12971,35853,54787,1783,51469,64524,58476,1515,15375,3394,180450,25805,12239,30106,2637,220571,707,317,49362,39212,3498,15594,214971,1914,81,28186,46326,12953,1234,35620,551,1175,16716,2963,625
SRR8557003,controle,43,3768,534,692,1657,10632,687,312,2220,905,1749,503,1139,648,1753,5567,1408,1863,49,115,6778,1164,293,854,92,285,183,10,261,933,722,1114,3482,234,1497,805,24,17,635,75,279,41,624,277,1286,204,857,783,35,6749,863,216,57,64,11,84,428,54,997,3052,409,6223,3107,307,1215,291,713,160,468,98,1072,2479,6388,87,1059,798,7162,1208,1647,710,15,3760,34,51,1899,687,217,328,3687,749,653,109,204,905,1066,1846,1048,69,159,260,63
SRR6784528,controle,1274,22228,638,16318,95313,97191,5879,10747,8320,37890,43245,1728,14374,2025,19028,7009,917274,563505,5465,7515,2079960,15719,21707,16093,4789,31643,85187,12798,13045,1044339,222570,62248,185749,183794,8426,2220,27929,2440,17240,678,5265,321,15877,560,250212,1598,2205,8565,739,22701,3888,584,1141,725,7099,1805,156217,3579,37790,65680,22043,102272,61935,11277,9483,1908,3837,6054,7548,740,259250,24612,18251,5697,3962,1380,18564,263929,333478,55432,366,1981516,7052,3550,213138,1215020,21237,132712,1421861,10695,79,63835,73930,2148,2512,9257,3124,2662,2967,933,125
SRR6784579,controle,86064,246393,24250,84704,54116,981656,63679,100432,537282,99783,419378,17468,139774,3027,87980,94908,350709,545985,25575,17689,1375646,230641,47086,13240,85625,19996,100138,4888,19936,146204,193448,238412,615483,124464,591504,345044,31431,42585,131965,13123,44525,2737,118077,2332,1452182,4918,8989,54737,8275,107646,146795,21239,9214,36810,5462,4038,143829,13096,54726,366021,32226,1295489,373897,14989,67550,19157,75320,20361,38164,3063,82044,171255,378071,7722,17113,24609,290813,324020,221584,321108,696,2021991,6101,3972,424338,97765,24453,177794,1904760,1902161,681485,136578,212150,13636,40700,184320,16402804,6526,18607,19880,697
SRR24907834,controle,26226,819377,108602,199304,55080,466324,8519,18273,229064,46139,134372,5683,22086,3565,113535,287001,258355,225555,6390,209972,1374408,28107,275326,5331,5905,13988,34358,2635,63335,86269,133720,71579,490512,51834,143539,103484,56874,5057,46927,7908,16563,1769,30471,11689,333463,76483,63039,143300,10434,765782,137796,1794,14172,7505,12649,3181,42322,51385,112113,177798,17590,477797,194516,22769,35420,16639,57064,13892,32919,18723,38442,116899,88686,5405,57843,10421,694117,86146,64593,59152,128,577234,1803,1073,56850,250362,3676,27200,507016,247794,2004,18267,26715,8461,187338,144439,38900,3415,17085,11147,4870
SRR6784551,controle,6168,190780,16355,27638,6482,94572,26045,14684,15455,29996,58151,14984,24113,27400,78311,532400,27690,275463,18109,519775,614646,141567,15487,182124,3774,6984,33116,2060,21492,87116,230988,88831,277822,30325,246073,134860,4287,3321,31153,2294,12983,1357,31675,4604,57205,110395,9714,2839956,4572,246853,158924,457,8100,19656,1291,4947,48796,68259,99368,107786,9480,302222,217106,52385,22738,56102,170811,13663,71958,5246,8549,122807,305379,7864,49310,10236,216126,132780,169339,21812,589,1057516,6878,1567,141553,10687,12045,82559,1065020,101498,93,5303,13322,165855,8100,34228,7511,1881,39930,32726,1351
ERR911990,controle,6597,128666,12945,33078,37688,691306,17296,62073,262160,216288,732866,22004,234222,573321,81347,324126,174123,509915,18869,813866,4431894,205100,1628327,22023,20795,18186,112687,9174,124401,465814,295437,443644,1283279,178608,97403,44182,21469,9262,93919,9332,33425,2157,67270,1432,399405,32787,98673,213087,27548,579503,992149,4460,28468,1608,1633,10331,58410,3420,183844,254007,51063,424651,363241,8789,36730,9052,27672,16345,29539,1838,28477,118561,270034,7830,5739,9320,160331,400457,429488,258003,384,1134754,5882,2470,322701,9161,24022,77640,1143208,440106,2316,27198,27986,42422,95156,66296,66396,4103,11931,9066,1044
SRR6784585,controle,7257,77517,5356,31256,5097,756914,23336,42669,442380,103349,310996,16167,38686,7447,82921,148234,222261,585541,5031,19579,3030909,26781,31894,8434,8924,31647,88815,14332,362441,568006,269435,320747,1654103,183881,8562,3291,3966,18287,47173,5404,25198,2454,46489,1356,321010,2682,3515,21775,3701,172597,92922,3394,3561,26431,1814,4351,89557,10187,105695,122498,18146,198222,143088,16231,75497,24256,20837,71829,89450,4834,49121,114112,144869,6017,29407,9016,256039,196050,267818,42421,2193,1200106,12980,3742,208887,8807,7345,109202,1350397,22421,3652,69296,110788,125658,72139,56980,38860,3580,31544,4509,802
ERR912003,controle,64043,62744,3535,58142,6594,45641,122397,13165,9731,1371,25813,29673,7311,7366,65905,15732,110569,648148,4703,3962,3308334,375201,9614,14928,14766,82919,311144,25635,9455,590965,294604,105862,1115703,395373,73569,29776,28649,14553,34175,3425,19498,3695,27925,14596,174134,10137,28720,22542,1267,94244,41198,3788,8549,20837,5505,5095,56999,3918,34584,477330,23131,1005264,359034,16920,71728,84635,204075,46234,125533,4701,70037,169146,134923,5708,44946,27257,175485,925222,61284,924027,783,4630542,1919,10879,125978,13600,111471,146282,2860635,14637,36,339190,864630,58847,13871,201546,5883,2732,57777,35040,1538
