sample_id,group,Acutalibacteraceae bacterium,Agathobacter rectalis,Agathobacter rectalis ATCC 33656,Agathobacter sp.,Akkermansia muciniphila,Alistipes,Alistipes finegoldii,Alistipes onderdonkii,Alistipes putredinis,Alistipes shahii,Alistipes sp.,Anaerobutyricum hallii,Anaerostipes hadrus,Bacilli bacterium,Bacillota,Bacillota bacterium,Bacteriophage sp.,Bacteroidaceae,Bacteroidaceae bacterium,Bacteroidales bacterium,Bacteroides,Bacteroides caccae,Bacteroides cellulosilyticus,Bacteroides eggerthii,Bacteroides faecis,Bacteroides finegoldii,Bacteroides fragilis,Bacteroides fragilis str. 3397 T10,Bacteroides intestinalis,Bacteroides ovatus,Bacteroides sp.,Bacteroides thetaiotaomicron,Bacteroides uniformis,Bacteroides xylanisolvens,Barnesiella intestinihominis,Barnesiella sp.,Bifidobacterium longum,Bifidobacterium pseudocatenulatum,Blautia,Blautia massiliensis (ex Durand et al. 2017),Blautia sp.,Blautia sp. OF11-22,Blautia wexlerae,Brotocaccenecus cirricatena,Caudoviricetes sp.,Christensenellaceae bacterium,Christensenellales bacterium,Clostridia bacterium,Clostridiaceae bacterium,Clostridiales bacterium,Clostridium sp.,Clostridium sp. AF34-10BH,Collinsella sp.,Coprococcus eutactus,Dialister sp.,Enterocloster bolteae,Escherichia albertii B156,Eubacteriaceae bacterium Marseille-Q4139,Eubacterium ramulus ATCC 29099,Faecalibacillus sp. H12,Faecalibacterium,Faecalibacterium phage FP_Taranis,Faecalibacterium prausnitzii M21/2,Flavobacterium tibetense,Fusibacter tunisiensis,Gelidibacter sp.,Gemella sanguinis,Gemmiger formicilis,Gemmiger gallinarum,Intestinimonas,Lachnoclostridium sp. YL32,Lachnospira pectinoschiza,Lachnospira sp.,Mediterraneibacter faecis,Oscillibacter hominis,Oscillibacter valericigenes,Oscillibacter valericigenes Sjm18-20,Pantoea sp.,Parabacteroides chinchillae,Parabacteroides leei,Phascolarctobacterium faecium,Phascolarctobacterium succinatutens CAG:287,Phocaeicola,Phocaeicola coprocola CAG:162,Phocaeicola coprophilus CAG:333,Phocaeicola fibrisolvens,Phocaeicola massiliensis B84634 = Timone 84634 = DSM 17679 = JCM 13223,Phocaeicola salanitronis DSM 18170,Phocaeicola sp.,Prevotella pectinovora,Prevotella sp. tf2-5,Romboutsia sp.,Roseburia amylophila,Roseburia difficilis,Ruminococcus bicirculans (ex Wegman et al. 2014),Ruminococcus hominis,Segatella,Slackia exigua,Streptomyces sp. DSM 41524,Subdoligranulum sp. AF14-43,Veillonellaceae bacterium
SRR24907908,controle,0.0004728989737371073,0.01466167117758026,0.0010117359307403907,0.0055689263132734194,0.0006275699071407745,0.0240569322971454,0.000735620625813278,0.003117501486180326,0.006439384963461085,0.001574398135603523,0.006337902286090486,0.0005495261222593238,0.0018351880108261926,8.911930550819125e-05,0.0031502129075662807,0.0017557275895855077,0.0029994055278696158,0.020999187108300045,0.00017514776805078048,0.0006801142375560086,0.10198107579880261,0.007381061786981164,0.0008072251545163913,0.0019659049112464443,0.01865143430567819,0.0006875837747228802,0.002577891818435642,0.00024997192484306247,0.0006452134690694193,0.008670458444131468,0.009518122127447818,0.008802978336281655,0.04664159306167571,0.005309037933915716,0.00045628569279699654,0.00017308720607371247,0.0010408413686664765,0.0002838424123411178,0.002654261396710725,0.0003271142138595459,0.0006483043120350213,8.731631377825674e-05,0.0020328731755011546,8.164976834131973e-05,0.012166073053103773,0.0002306541563080499,0.0008676253774691972,0.0011673083600090253,0.00013767129709285614,0.004451844151455426,0.0022094375799111693,0.00015312551192086618,0.00026890333800737477,0.0001930489002265588,0.00048371692411671433,0.00021030610678450333,0.0031930983537140083,0.00024379023891185842,0.0027849782971309765,0.0071489909943138795,0.0013239110702661938,0.015630521662172926,0.013142908215357574,0.0002717366107258433,0.0015710497223907877,0.0004774064530619436,0.0011271274014561991,0.0007891952372170462,0.0013651223098075538,0.00010702043768396955,0.006490383872393518,0.0057449755771891665,0.006940487879259311,0.00023413135464435216,0.002162431009809305,0.00047109598200717283,0.008472515709209373,0.006509444070681397,0.006964570697366293,0.013081864066786934,9.658884267506277e-06,0.04290798354435205,0.0006953108821368852,9.530099143939526e-05,0.03569408484776053,0.00042872567635371194,0.06337657594355708,0.0038535084673643042,0.04182902177910982,0.000903298856697187,4.816563621396463e-05,0.008997443872867448,0.022919759656050996,0.0005656242627051675,0.0007568701712017919,0.003861750715272576,0.001508975292831614,0.00011320212361517356,0.0005604728577624975,0.00023129808192588365,0.00011461875997440782
ERR911979,controle,3.767741494661429e-05,0.149309378930249,0.015242136042388119,0.02348538143328346,1.3865504926551745e-05,0.0072340636697499445,0.0038212845068631815,0.0037032790594765832,0.0001808732143635171,0.00013108713234654185,0.0008085508379684121,0.004172111512607123,0.0017165657268719324,1.11356491807784e-05,0.007573160404269473,0.00010343720731757022,0.004444718691338508,0.004147191443323924,5.3894379772990605e-05,7.724680912297249e-05,0.030558275500933936,0.00022252378569259358,7.908473180329513e-05,0.0001153296481902462,0.0002116854475336321,0.0001043021121083103,0.00398410283372,4.8840092402103316e-05,7.00032315005244e-05,0.0010175875145804027,0.002835725497814872,0.004175219764198845,0.017437831995055338,0.0005084018473068973,0.0006248666830349899,0.00031436586315930476,0.004287738471819185,0.00021176653235776397,0.01408421772551014,0.0017662977523394863,0.003990616647925261,0.00020409050233994585,0.010524080408901038,6.903021361094182e-05,0.011368308569487479,5.351598392704182e-06,1.0189659565906447e-05,5.7786451331320914e-05,2.627148301872962e-05,0.0003416644206170382,0.0002126854936979253,1.5622342782742512e-05,0.0009380162738323164,7.446289682777789e-05,0.00027106656707288,0.0002942027702251769,0.0074960757647947645,0.0001667374266898591,0.011645726781117355,0.005602853234414173,0.0013942805792224139,0.007953259031525023,0.0018628427496058468,0.0004035861979790851,0.00665168543456006,0.0010477240408827521,0.002740180546712805,0.0009129610631755649,0.0020646628768700996,6.681389508467039e-05,0.0004954012471710856,0.018816436174945588,0.006483461452761117,0.001072022459847606,0.00035204327810591906,0.0005381870060380085,0.015245568633276368,0.001566450689129109,0.0032009315457048665,0.00039666695965316455,1.9784697088179097e-05,0.015497499181854125,2.965001735755802e-05,2.646068094170401e-05,0.0008423361813566961,9.32745760263744e-05,0.00015065560323703593,0.0009540980972851396,0.01689234735484546,0.0006730310685693274,8.378765160294427e-07,0.007920635903949296,0.016879508924357915,0.0011868655990930608,0.019224482038251927,0.013305641244195813,0.0003036086098244751,0.00027193147186362006,0.0008264435558268474,0.0007614946116972103,1.916304676983467e-05
ERR911956,controle,0.0005082243936300495,0.0072728029633880985,0.0005836133887783878,0.0014687827581501291,0.002392016851154425,0.0985497888779046,0.0054772340043694355,0.02429308213687241,0.005457378917978967,0.0029593128692113647,0.011858121256877428,0.0012015069681480537,0.0022068489736565785,0.0002534265930031992,0.0031805435072112358,0.0015194900160727474,0.02443091592720182,0.014958833056239696,0.000170852469906929,0.00016775354067747749,0.11150956576377581,0.005707020977940889,0.04683979424426276,0.0010943333802834823,0.00045000291792982315,0.001152883945813385,0.0029011736659685576,0.00019290148849523896,0.002581243503218279,0.008949652766351048,0.009018076026771238,0.007897909094858168,0.05101588933454965,0.004487304372550749,0.001798146829351127,0.0008187480720820812,7.541641930081135e-05,0.00026099565908575334,0.0025931181612390978,0.00017496609277788236,0.0008371222542390061,0.0001264801912055789,0.0021953856779228552,0.00010865449209811441,0.004704503660137085,0.0003966629413697947,0.0005477425973436747,0.005757947629083292,0.004421650951530334,0.004770623291749543,0.0020846195260843183,0.0006334704979743424,3.022141602527059e-05,0.0009450362942203489,3.8640630834488436e-05,0.00022858031086264098,0.003057984969809299,0.00073625622144323,0.0016894374889480665,0.003164829467844194,0.0005851217171644041,0.006647587135308135,0.0038351580267422785,0.0005886045845284779,0.0024945009089461095,0.00047668661828607385,0.001863251767322082,0.00018678590249375496,0.0007625559836648584,0.00015982796061277403,0.00041786181123144097,0.00531666559163989,0.0044102425041015565,0.00032355015087671724,0.0006407104742272203,0.0005588219549427757,0.006176248226754301,0.007537638003820075,0.012815854933692788,0.005610981595980365,0.0006455371250624723,0.04141839581432839,0.00012379262426322272,0.00010305996499361785,0.0386172928807339,0.00026050202434123895,0.0010544038142827619,0.004376455948254793,0.04177394995114113,0.008863705472500595,0.0003118948860756828,0.001161632250452279,0.0015786713371095293,0.0016685402847636235,0.00025764991248404464,0.001681265091511106,0.0018770186918635392,0.00010481511075189128,0.0004167374209800471,0.0004852978021626028,6.42822133967643e-05
SRR6784564,controle,0.00014876624485008727,0.006788669987909276,0.0007064695996204812,0.0014833716176610179,0.010988242181609102,0.13591682862808846,0.004227985866212522,0.029106798674949575,0.028155019136582273,0.0025699983642515603,0.03754817111707804,0.00012087584439103116,0.00011030574890748645,0.00014531264929605782,0.002163154342545817,0.000641165247326106,0.01060243369645972,0.01319153149066917,0.00042793188546746876,0.0006929168534311838,0.039686260728254465,0.0007662795953516278,0.0006675381588296037,0.0004287691207532941,0.0003568715405830444,0.0008211708337785506,0.0027460794103016987,0.00021930331768087082,0.0004715204475357497,0.005194103058849583,0.03232000304753644,0.007882517888840063,0.01977246247328304,0.004983276748437693,0.030488446205382817,0.015657765006683755,0.0013260237111312211,0.0003215506769622885,0.0025560793276247144,6.274031923153522e-05,0.0009170342740055503,0.0001095208408270252,0.002132281291381008,3.1762613655998234e-05,0.011450814677027592,0.0002072157332417677,0.00038884346306049895,0.0010759519966962695,0.00012715510903472108,0.0018529586691475343,0.0010867837282066348,0.00024787397180966,0.00012071886277493891,7.409532279554118e-05,6.441478980318588e-05,0.00021339034347472947,0.0036190018501853272,0.0002631535157759722,0.003171813553143876,0.00619569809672349,0.0013363321705879454,0.010035259117518427,0.007405869375178632,0.0006306998062532894,0.003495980590374369,0.0005327432778117266,0.0009201739063273952,0.00141252058159805,0.0018213007099022642,9.220053585151381e-05,0.00015284776686848571,0.004862662540073482,0.002453413350700384,0.00026440936870471016,0.00045524668666751996,0.0005271965940431338,0.0036645265188520793,0.03672652933845121,0.025520030383268524,0.015645991385476836,0.00037309297424591,0.03711239015080596,0.008935812205613684,0.0004936548554047567,0.006739220778840218,0.0004896779877970864,0.0015000639961721602,0.003799007436637772,0.039999125089126314,0.004053893253966219,1.9884338038351446e-06,0.0005474995497243978,0.0004192978965823951,0.00014552195811751414,0.00018120911217581857,0.000868788590659866,0.00044347306546060135,0.00013856243980409113,0.0007233189597477159,0.00026467100473153056,2.202975345827884e-05
SRR6784403,controle,0.0008120206256975791,0.003539707397541532,0.00012615654083548216,0.0020415237378329566,0.00221289633743945,0.008948444874001154,0.0018492994350907408,0.0006631439495457542,0.004163390059432586,0.0015354775660337565,0.08891988327231531,0.00028504801347543186,0.001192283943097421,0.000719196914964363,0.005365090900720333,0.01097830959502704,0.0023935363606618198,0.008176857120692198,0.0004552248164863281,0.08714621797189609,0.03849859665795778,0.0047186881035129365,0.005917324716024467,0.00046561329941057693,0.0011647806213986903,0.0014969878631129784,0.0014331622198229892,7.354149062921471e-05,0.0010999086560875538,0.0025648342229810882,0.004329755260795016,0.0022368122693513896,0.022142416086094963,0.0011892197143212038,0.009705384119014048,0.005241176478501595,0.0003901286393135171,0.00027002581874324466,0.0018981028836485428,0.0001986517094435495,0.000780332015914259,8.146364307504476e-05,0.0020121519839536054,0.0014688119058292243,0.006074796180207145,0.011052448983954053,0.02537928799580156,0.024985646703988475,0.0014596939567877974,0.052342857006194676,0.007085916939071623,4.058234696307275e-05,0.00037159379208176376,0.0007018578643282067,5.851929589702756e-05,0.0002236139633766366,0.001747208300741648,0.0018457867825911747,0.01923139874868855,0.004539841775183962,0.0008025289902200281,0.013651288672622431,0.013757415620481665,0.0016798700049520927,0.001445493872215083,0.0017484040973372449,0.005565162618621154,0.0009103748956854313,0.00252836242681538,0.0005623233490794833,0.005706191879614374,0.007767222049413006,0.010437361110093853,0.00041083086787478993,0.007172163768529055,0.0009630646831789236,0.03693494313464027,0.004761736780954428,0.0026413652050992953,0.004882362762535274,0.00046516487568722803,0.02402504835128797,0.0002810869372525168,0.015276450983325961,0.004094631755185759,0.00026389736119081014,0.016127334998380444,0.0021542275669679724,0.024915767340433277,0.0016510214120833153,2.8773855581552506e-05,0.005357617171997852,0.009749852804912812,0.00152419223566281,0.0023955542674168897,0.0037013641498087994,0.0003383356992667226,0.0001973064382735029,0.001271729679417396,0.0009887743099842587,0.000128996557750025
SRR8556880,controle,0.0005266649923343067,0.004783864492857002,0.00023196632695653783,0.0014614760599505065,0.0032093820236239624,0.014875391966864977,0.0008553207055745345,0.0007485985551496635,0.006989859852207462,0.0003512569950967346,0.0037125637328585814,0.00028213014766244316,0.000956199597763333,0.00023141507617954987,0.003673535177847833,0.0033295546930073396,0.005134680487332147,0.018138686316478362,0.00017221074273104188,0.0006807947095801432,0.06724818478631646,0.008076816134272342,0.008267328402799383,0.0005654730470342598,0.0006005325964506947,0.0004612866501835334,0.0011099985645429767,0.0001738644950620058,0.0023983818805192606,0.007315428561096557,0.00646297435956236,0.015989359537002267,0.02364226382377086,0.00415113885103021,0.00752380135479801,0.0037964641011161504,0.0001443174534154506,8.88616252504608e-05,0.0016171492793719093,0.0001992220308034524,0.0009005232692875481,9.194862960159343e-05,0.0014693038209837358,0.000250929353684924,0.016417571140566523,0.0005955713394578029,0.003005198735827618,0.025865458207363343,0.0031166616429345855,0.013372351598329578,0.011669207197747545,0.0003305299658819869,0.0001069426507356662,0.000243873343739478,0.00012800043041660667,0.00030032142330304614,0.002100155210168769,0.000620818625043852,0.009264761558681417,0.016771694639703596,0.001103383555219121,0.03255554788704475,0.01975142558963437,0.0009156275405770184,0.0018363265883023262,0.0007781455967962187,0.0008031723820714726,0.001470296072382314,0.0024748954883651907,0.00016559573340718624,0.0746375912016848,0.005349668290357455,0.012646574825347217,0.0003077081837146849,0.001968847275090234,0.000628425885766286,0.013149866784737233,0.003817852631263284,0.0038196166337496453,0.003780036827961909,1.1907016782940156e-05,0.05035477397505392,0.0003121181899305887,0.010941666422278822,0.004892240395612838,0.0003251277082675048,0.0010891612851728315,0.003126914907386562,0.04589129643378232,0.007947713202301759,0.001320907111818574,0.003281154874787796,0.0050760274046606265,0.006548307979840098,0.000653673171352335,0.01700377121681553,0.007457651261559453,0.0001328514372541008,0.0007806813503703633,0.0003607385084609277,0.00013957669673335404
SRR24908040,controle,0.015637280510837112,0.001432997800689396,7.588139363231912e-05,0.00030495393017412013,0.0019632748338376024,0.007437983476067723,0.0008180906955842028,0.00035048276635351157,0.002027550837855567,0.0006975731880505195,0.0019323866430178583,0.0007655986256361985,0.00022817981426377372,9.641400602694664e-05,0.0026781668340818514,0.003912087566771163,0.0036519482949540125,0.008419442348530919,0.0010318084089439346,0.000920575213101735,0.029618561195933615,0.006769691578736498,0.000600802093112362,0.0010803725008686187,0.0007206054228236235,0.0006454382070137262,0.002376248159653024,0.0001098048401973559,0.0006059798823249202,0.004578236930635122,0.0048196290346137,0.0030739998921591486,0.011042617490286288,0.0015924379995450688,0.002466234565278174,0.001736344830763067,0.00013158726378122162,0.0003262007203911695,0.0005483100231643577,0.0001201604186224724,0.0003590529002225735,3.678015785472409e-05,0.0006104434937150566,0.00042190054859569427,0.004902830750925842,0.00010284160642874309,0.0003942261579768485,0.0016276112572993437,0.0003017401299732219,0.0053772233694695405,0.0018429358707595246,0.00041922238176161247,0.00029870487422792915,0.00014176429775073266,4.677864736862967e-05,0.00021621733573820812,0.003191303599491934,0.0002460342598243194,0.0009484281481761862,0.0016090426339163762,0.0004054744586799923,0.0037849639143800774,0.0024871242665840125,0.0003501256774423007,0.00045957342872844566,0.0001296232747695616,0.0005308126665150229,0.00021228935771488807,0.00046046615100647293,0.0004049388253131759,0.0013237285938588563,0.0019666671784941063,0.0034694758613252356,0.00018300806699559318,0.0029495544066021452,0.0002479982488359794,0.022279491348271313,0.010417176262300374,0.005399719970875828,0.00936572796323984,0.0006125860271823221,0.0323697527123581,0.0003120957083983384,6.249055946190986e-05,0.022406257911751187,0.030202937199130274,0.0003658375895355809,0.0020871846860277894,0.021143412977253792,0.04664206086009149,0.003664803495757605,0.0026685254334791564,0.0008973644338730256,0.0015529796748562628,0.0007457801910639928,0.004453612900622513,0.22551432408603986,0.0002344288702099647,0.00016193982123414926,0.0002117537243480717,8.195190512290465e-05
SRR6784574,controle,0.00014361409475141776,0.006258203996284995,0.0005440109086897728,0.00227080441343878,0.0030590220882036677,0.011053634735314842,0.0018617644355305876,0.0033144888931529825,0.0007379736766011263,0.001306134602265445,0.003501288900611824,0.00018934211450879338,0.0008000160421908423,0.00015511339075973096,0.0015820728457523164,0.0006432278514923193,0.003185185365735708,0.03295909081332008,0.0002459264267265531,0.0006362146267486276,0.10950840898357304,0.014387443642047462,0.0012726834642022504,0.03586138452510876,0.0032768058945301616,0.0012464399473042142,0.006423859654516586,0.00038053847180696365,0.0008281287554491373,0.008699987539189383,0.011545128703066778,0.007887171240323489,0.0381824329367113,0.01374182321921401,0.0007603591722115878,0.0001814167219412953,0.0021265921758520795,0.0004910752677672385,0.0025357667358982105,0.00019396276791135356,0.0010330524908170496,4.251300201773018e-05,0.0021398859003662414,4.903275892231349e-05,0.003455919766555618,0.00015619004786324015,0.00016943891166475579,0.0004174289311730348,9.20093216373879e-05,0.0012433744652733897,0.0009520190902071023,0.0002738896042760274,0.00010268617124718718,5.188889096078921e-05,4.810563752762504e-05,6.471905477760684e-05,0.004681663971759045,0.00011019286382998723,0.002071084520737829,0.0021055973623336508,0.0004203000167823926,0.00575163682908393,0.0031605717880638174,0.00042876373790164525,0.001274059192723401,0.00036696062944604243,0.0013953027454352393,0.0002154809564106549,0.0005535213797707705,5.0004741029648164e-05,0.002385094555690455,0.0028442738567662344,0.0025826162734717416,0.000235698184243216,0.0003279617165855991,0.00037515518628941777,0.005231117980249892,0.010510192062318588,0.014612270580259412,0.003966494490753078,0.00021844176344530512,0.10158563329097933,0.0008230894020618791,0.00019281134295343402,0.01669329922563382,0.0011374433691447928,0.029030623253320117,0.008692465893035703,0.10997087807024288,0.0006834380035942104,0.00010812927104826132,0.0040565897553175604,0.005862263346469497,0.00018935706807967544,0.00025045735870382087,0.0010031752561946701,0.00029569191062208815,0.00012629785966997858,0.00028725809664459964,0.0002732017400154521,1.704707080556187e-05
SRR24907956,controle,0.0005028284704083276,0.016427979825152608,0.001474256435770533,0.00330068564012523,0.000392186922988662,0.03790401038246782,0.008015847533537164,0.004169667728247004,0.006656330480275915,0.004642847156536336,0.009387175993821429,0.001015781003979239,0.0015617572673900068,0.0031748579979616887,0.00470166314252849,0.011127068563048327,0.009700539853615688,0.02216422580324799,0.00017379641762435484,0.0005197019090126338,0.1686953360851501,0.0053551473147609805,0.00600356945541218,0.0007139875020850749,0.00045847543179129387,0.0007952210565086638,0.002656361334563648,0.00044690507389119816,0.005237033244530837,0.020944758290402484,0.013134043560469101,0.008343192242460707,0.04935191532812089,0.005322605683166962,0.0005565824248191891,0.00017717110534521609,0.00024779849836038386,0.00047800041074770545,0.0031507530856698224,0.00023598709133736945,0.000629861358186462,0.0002244167334372737,0.002605258920504892,0.0002232114878226804,0.008758278832126641,0.0004408788458182316,0.0010717044004963684,0.0011657135584346463,0.0005517614423608158,0.008611720965392096,0.001736035783260199,8.533138951320611e-05,0.00026973396854598205,0.0004059267229950257,0.000121006659705168,0.0005708043230713901,0.004862442907515236,0.0004360578633598584,0.005010929167233132,0.0045377497389438,0.000876213561809334,0.010350649338127318,0.005823746809714858,0.0012455008181207232,0.0017471240429144574,0.00048619608092693995,0.0017868971481960366,0.00043412947037650907,0.0009458767583328271,0.0009183971583200997,0.002908257668013649,0.005367199770906913,0.004074212275571214,0.0003042039931233506,0.0027187930573995813,0.0017237422779913473,0.017773998127530412,0.005582215588550359,0.0031628055418157558,0.005317061553339832,0.0002911873404857429,0.055440816173046276,0.00013426436146569436,4.121940001909109e-05,0.023318369003782542,0.011797185124762206,0.00045100290898081536,0.003705648166628581,0.04637182502147748,0.0012835865795418717,1.253455439177039e-05,0.0012204317093371824,0.0014306265445222551,0.00791050906682171,0.001894646106140678,0.007360917066567161,0.00078871273018986,0.0001540303895450246,0.0005093367967271314,0.0003066144843525372,0.00020682014746421144
SRR24907938,controle,0.0006009284458733695,0.010234748241827315,0.0008671191833039685,0.0024503257237817547,0.004195303115848265,0.004267962905121167,0.0001974152765150537,0.0006870691394453316,0.00044509833177236647,0.000918757901466471,0.0009294969269250446,0.0008269049603101613,0.0011620996485596797,0.00014646202806267296,0.0028513255042029576,0.005525799823194513,0.012523303114020347,0.0051065208505033976,0.0007672690955295722,0.0027530748457521787,0.05096947123552031,0.008596018654829672,0.00043413081641041905,0.00033770807718663126,0.0009253841086643143,0.0005298680859240852,0.0016305039504761845,0.0004686327918198787,0.00031348814742899735,0.01886778226100356,0.004158973221211814,0.0034172949948601196,0.006919359743871958,0.007334068918495595,0.002363042580692923,0.0014454271287433216,0.00020929675149049677,0.00010167800700138761,0.001672089112890235,0.0003687827040454823,0.0007000930639376442,4.227063212417238e-05,0.0008314747583776395,0.0003555302896497958,0.008798689199122325,0.0005927028093519089,0.0029578017991751973,0.005747892009273948,0.003842971684845704,0.014476434808060485,0.004485713783036498,0.000249510974484304,0.00015514464439088133,0.0007377938979943384,0.0003303964002786663,0.00022757594376040914,0.0023500186562006105,0.002543321114454934,0.007310991438254831,0.002238744073257519,0.0009352091745093922,0.005174610841708821,0.00483576031500532,0.00033862203680012687,0.0011138882789477858,0.0004172225635607501,0.001067733318466257,0.0005623136522031796,0.0011004073746487253,0.00021866483752882687,0.0012178511849829123,0.0058438577686909885,0.009040203026988542,0.00015994293236173333,0.0010693327477898744,0.000503591747036086,0.01678235491290993,0.007596375327568837,0.004463321772505855,0.005926571113712342,0.0003217137839504579,0.008400659787444982,0.0033316112810949055,2.7418788404868572e-05,0.00849822497618564,0.000345476733901344,0.00071037510958947,0.0007042058821983745,0.01090787949716684,0.18534735377845757,0.0031188871810538,0.002787348331258264,0.0028195654076339847,0.0005712247584347619,0.004767898813703271,0.002768612159181604,0.03090280245151387,0.0001338950833771082,0.0004818852062155651,0.00024311325718983466,9.985008777439638e-05
