# Constructed from biom file
#OTU ID	SRR8547757	SRR8547758	SRR8547759	SRR8547760	SRR8547761	SRR8547762	SRR8547763	SRR8547764	SRR8547765	SRR8547766	SRR8547767	SRR8547768	SRR8547769	SRR8547770	SRR8547771	SRR8547772	SRR8547773	SRR8547774	SRR8547775	SRR8547776	SRR8547777	SRR8547778	SRR8547779	SRR8547780	SRR8547781	SRR8547782	SRR8547783	SRR8547784	SRR8547785	SRR8547786	SRR8547787	SRR8547788	SRR8547789	SRR8547790	SRR8547791	SRR8547792	SRR8547793	SRR8547794	SRR8547795	SRR8547796	SRR8547797	SRR8547798	SRR8547799	SRR8547800	SRR8547801	SRR8547802	SRR8547803	SRR8547804	SRR8547805	SRR8547806	SRR8547807	SRR8547808	SRR8547809	SRR8547810	SRR8547811	SRR8547812	SRR8547813	SRR8547814	SRR8547815	SRR8547816	SRR8547817	SRR8547818	SRR8547819	SRR8547820	SRR8547821	SRR8547822	SRR8547823	SRR8547824	SRR8547825	SRR8547826	SRR8547827	SRR8547828	SRR8547829	SRR8547830	SRR8547831	SRR8547832	SRR8547833	SRR8547834	SRR8547835	SRR8547836	SRR8547837	SRR8547838	SRR8547839	SRR8547840	SRR8547841	SRR8547842	SRR8547843	SRR8547844	SRR8547845	SRR8547846	SRR8547847	SRR8547848	SRR8547849	SRR8547850	SRR8547851	SRR8547852	SRR8547853	SRR8547854	SRR8547855	SRR8547856	SRR8547857	SRR8547858	SRR8547859	SRR8547860	SRR8547861	SRR8547862	SRR8547863	SRR8547864	SRR8547865	SRR8547866	SRR8547867	SRR8547868	SRR8547869	SRR8547870	SRR8547871	SRR8547872	SRR8547873	SRR8547874	SRR8547875	SRR8547876	SRR8547877	SRR8547878	SRR8547879	SRR8547880	SRR8547881	SRR8547882	SRR8547883	SRR8547884	SRR8547885	SRR8547886	SRR8547887	SRR8547888	SRR8547889	SRR8547890	SRR8547891	SRR8547892	SRR8547893	SRR8547894	SRR8547895	SRR8547896	SRR8547897	SRR8547898	SRR8547899	SRR8547900	SRR8547901	SRR8547902	SRR8547903	SRR8547904	SRR8547905	SRR8547906	SRR8547907	SRR8547908	SRR8547909	SRR8547910	SRR8547911	SRR8547912
1CMET2-PWY	29030.691753038518	19844.475568675316	29209.764673616457	17212.42006505435	25750.870425704485	29383.24607636214	24013.70638824613	25132.36786507952	26170.310562226376	27437.635953314686	26904.99363718057	14583.713386087158	42565.213099685796	25590.965427904575	24742.1843039052	27902.5671708119	29890.99972128492	33674.64181870111	24966.10002441837	28416.15111183279	22952.576480466938	32671.181953342602	21163.683661807376	22516.676722154378	37460.79375954951	26992.88277517757	17010.463882222048	17971.88487225199	21501.80063975361	31532.501852736554	30659.139329372436	28067.98212045949	29428.5708660569	20792.217448057556	30946.39601625175	27132.965232804705	25481.796030340498	25336.297020031834	16145.707484167933	25703.16513903245	27696.176032533996	24178.531317861034	25531.359258285105	25492.62043734771	25073.458924526796	28471.963983919428	24282.82778835625	24923.207593323765	25530.453273986837	29526.56874474951	24227.93451021355	26539.520051621756	26873.652974016044	27669.421714078853	19953.09310551639	39472.75750012764	24041.886462203085	24596.182230617826	28657.51841822283	26725.21436908259	27388.643424733713	32129.1528597783	28246.624744845307	13012.845223832766	21099.198720778513	32161.199122557784	24515.60252270014	27719.722516112208	13537.086492499904	24808.153291172774	46424.62089270772	17234.81898179045	29794.313369312997	25972.115357625713	23388.82792513752	22011.06332528314	31401.617260159943	33374.72675330158	38395.12709018868	28535.143048203223	24388.399250226295	20352.99804782273	28348.864157657223	20074.61955685609	24935.68009149067	22892.678864561687	27306.471643514396	28024.27087444168	41934.422397303635	23640.81534583914	22915.816317752466	26616.98690601693	20154.179555081013	29062.45872282716	25262.250696120784	23647.26620876164	41727.622221222104	28377.110667341236	32013.8304705478	26839.808755412614	27346.230659709418	25774.367660728447	23551.18864459011	25792.178304905705	28769.93657251406	12742.034117391413	27752.854393600977	30721.68639476096	26933.08524262731	38099.392402474026	26755.414853140563	22097.88770097577	32400.267519608118	25874.559383027165	32291.713342977124	31697.22472384813	27760.009639233496	33650.19867599667	19197.418237853322	27540.509938164556	30246.43538195167	27453.645818863028	26995.760966761598	27680.957593555715	36949.575427916876	30713.161074135354	23841.622215599742	27245.9731842472	21518.724893857	27798.738911149863	25294.84559393087	17740.70386786547	25561.895168427585	29371.217245940552	27228.554328690705	32257.04476304635	41491.40112970678	31234.174639448764	23044.67682871844	34552.34015330659	25287.102340285783	14002.530065686018	23785.26145158152	24377.799123217996	27679.60582919684	25708.432308665553	19701.695483771095	24707.53627985795	23439.937862398063	24548.91412997038	36012.1855608983	45209.21564799475	19937.675925895775	21877.471752471825	26954.108893657623	33958.65675294033
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	158.05158400480974	27.514436599885798	685.7566691811212	11.925512320245932	179.22221339493876	983.4558901220577	46.72647759967555	371.84652774400183	262.2082842231955	4105.717329387225	292.15189416735893	5.8853021851108265	638.0496291494111	35.261469827436855	2381.8984142758477	927.1500547851697	200.47110275091487	91.55813953915427	450.19917995690025	251.59356347612072	1014.8075869031446	792.3853421622036	69.0818989103102	98.91171033866944	156.39922759077405	242.3945447467263	38.29413597721824	5.91345658017927	158.0053462483783	14.764506471440603	483.8806422086317	52.2560590419497	81.59589273355988	52.19669537419976	578.0799018862197	1333.9815776571033	6.238392972093713	47.58457536685661	316.0804578567303	25.072013440622207	19.9962129929129	1029.0034451531717	249.5347931194842	85.76006977018972	2899.7247551325117	0.7879641702127025	114.24999667171974	67.87871380535236	137.34187088426717	144.54197275252994	228.6314608787618	24.7719771813569	563.4932506324609	239.0735214816464	274.9232169132135	115.51800907785196	335.5043572820532	409.2044181178709	681.8973741707886	250.97583512794273	1041.4259143698866	256.1595252105262	97.00717025820231	157.625750347039	266.35235108449933	273.052095812822	375.3452789762178	66.28743765017383	77.56708805797412	616.2954613534131	163.57452639498223	142.7556064783941	473.27789825872685	169.44651246029406	226.1455167401826	98.02711920911587	76.97615038089053	177.76385546563031	50.82158896622952	313.5405891984556	66.07319430790396	473.03460509307723	1581.5569933254374	20.42053624796732	14.69168780628631	175.46996365884712	637.2561402566453	396.7558020069595	108.36383857780605	7.085990767301575	18.763600346663026	158.41058900772816	118.12740663561836	271.811519083239	220.7206929757525	268.6125864008993	21.077802578851713	80.38442100792705	145.41442023529837	79.47166187759534	638.4223209934714	17.16547383292473	0.8639339528765179	2.6030438541189356	7.581652079409033	23.15524989310943	92.22162320963406	38.61699526673798	43.84323707885812	13418.609948004812	214.34469474209433	300.40017924563045	143.6612287342383	7.972720158808213	38.268680916400285	1111.0440717908837	38.1251469948474	67.70189743604817	63.391115752191	562.2439866173178	67.19209178143174	951.5286769221767	151.6491084244109	44.78694039259441	67.19001503710577	1561.174369647652	459.847442458713	207.9681645499365	156.31886753870762	73.80663380268129	190.70836864386413	327.3641754649322	21.912232906363748	203.7268544185846	86.53020698338644	27.069912793127614	14.808587901411562	29.965322607862834	51.72703337303833	191.0624375271264	544.1607815850612	47.67352636893005	354.2585906580477	73.80704568853761	168.2254221716545	68.07507681007691	382.8340393263372	544.022145435289	24.64396401618292	220.44759314189812	177.92281816860572	2329.2313771507215	56.71931110991272	75.61144835818531	1474.8167236128745	25.278041863292426
AEROBACTINSYN-PWY	9.620252301423237	1.8010179964032345	11.891590026984831	4.6837340028039005	49.24147268846617	342.0076777987631	11.497884619091318	25.8703683785428	17.651687496915013	737.6225854723698	8.148524681914775	0.8037245245251399	223.71207305816748	0.1070368666274521	416.77750642317176	35.30091656066467	43.457276744718236	13.341254817487286	6.786126160435813	10.176616587777046	126.75815629195645	98.69886886419684	0.0062549019487156	1.4964369821172305	0.0	53.33853877899184	7.124181534913163	2.51025068919384	39.47574641594373	1.5094544688135905	53.818314508350234	4.232421656276234	27.90389673782476	5.786085297169438	143.91039611003603	338.096203760796	0.004079958768859421	7.917904727641917	27.254081702996533	7.23936517509691	2.922650716935769	392.81043231358734	47.32948756502273	20.672019777493567	867.5060499709739	0.00036373635341055926	19.48550065174868	4.6110053967420725	16.73564045217162	7.259125421877343	29.410717313416264	0.1921860799361953	341.2832258725667	61.81024603336461	75.93374266100945	19.04841826184626	74.29311534696564	66.21931512012073	101.98763179715083	2.490584921238168	30.37175375210874	34.993177184149125	14.161343202354768	58.34274657967849	79.1941806739721	0.0009644825081035662	66.89014450338995	6.298206768866838	11.504733860437335	34.74219018326318	1.5783542017132406	58.96425666810768	234.01735755616602	3.8813069097439286	5.211399361014409	2.02327677082592	0.3217328928289701	0.008538089808470562	21.238253083529365	0.00996024573905421	10.211226373056373	176.496523573145	390.54032125806503	2.702204825180691	0.00038044442892405753	36.9321707003101	43.41878948081799	130.16408953600904	6.362097311283934	2.0729567299957705	3.291605198985591	10.26764737433742	4.547473839185554	21.125168984260217	22.93562193522491	55.370165214200966	0.0008501861349454209	0.16518785060634048	8.573663593026474	0.0030882681002679982	12.118411357610695	0.5603666077122152	0.0005577205244504676	0.00021560903429027016	2.043264321621706	5.192823340914223	10.325202512518265	6.72119836330982	1.3500155142596082	11878.189619952524	7.418326602363255	39.12394118299548	27.338803188968225	3.013907721424052	0.0037044002247648596	434.02379644645094	3.578859800660822	13.896764231598311	6.656435455251436	8.57363831679625	14.961710559746603	147.23769986702175	0.02073515436054699	0.003678009744747788	22.76503743598161	35.58201287092078	241.72553035018421	0.0	18.885536293648297	6.674222112381676	27.7846732914577	170.60669367901298	0.006843722590960045	15.067417822634281	1.9700538400454224	6.571104897444113	0.004742606223768055	3.110784759333408	4.7885677838520975	6.742071140778594	145.88002656482024	16.89123618902038	85.43067745799449	8.415242880026314	73.41191081007413	8.464263893320988	113.8451292364441	112.18165525677142	0.009523315680732758	53.69194975378548	43.884789668538495	741.0371022460807	14.573053215728962	12.602386968789755	449.67731417782005	5.8761437367976015
ALL-CHORISMATE-PWY	980.3762945361257	843.1705834971527	1272.0061013191767	253.6347121419599	679.8520760259194	3487.4074049331307	582.8727383001589	959.2381089398889	1113.1233733773763	9497.043907826715	3447.6282715949983	273.2841115166084	2837.4620873024624	266.804672677511	5883.499927932063	1768.487398545949	1350.3635120579972	1129.0977718410838	934.030676025131	557.5937821765965	3472.144004816314	2192.4110290983754	807.7948807109053	679.0782076917	174.07277298581178	2577.4821770948543	495.4178880426526	117.8992941920068	936.069464007946	500.48063556908045	1852.3618763505142	262.3944221803966	822.3329631641061	483.2004399446684	2330.63403222709	4026.05197310008	239.40382434330218	549.4369801764533	1610.5552127354438	291.1272036670212	480.24348111103205	4032.0366594361813	2080.905574258754	908.8045133360566	6869.733145454898	155.1834435763146	1016.1366766582591	790.2350689616051	1496.755889359193	1241.889113866028	1176.8523732547026	304.5240135940585	3311.5713531471056	1605.9719346683976	1094.905049242138	841.2707303748282	2344.372780557517	1948.5020736190625	3580.19480723615	596.3647930366637	688.3079991518432	1924.2312691462612	670.6182145939964	958.3459000299346	1934.4845034193258	425.39397783424425	1138.3939735777744	564.7195448202407	413.28142240218455	1579.3886593472168	800.1457464828915	1218.268603133497	1422.3128109960078	1623.999804734309	576.3033512431789	293.11588943148683	841.5675372266373	444.52293802502993	573.8745928249477	1842.7960345548997	1163.9274217393838	2952.8962380299736	6399.116089353787	241.78484027752287	433.73261041236924	1118.6161536065156	3756.9241030489616	1927.19938784198	447.1803722973845	152.73369491069045	692.9719730583779	1338.8735101410875	811.3077042437682	941.524278218947	901.0406861697128	1503.9062938923228	0.0	384.8520795793861	505.34068576680824	1585.7363868861403	2048.307505890404	600.0744733678139	51.11156141546368	173.20940610377122	902.4555847475544	412.9032875014828	617.8882919852794	233.26133247281473	1382.8448037069566	23583.57212910064	2414.872532604975	1252.7148132474947	1368.4243160382762	161.12730791432494	431.99906631648247	5584.588911297434	482.58878256452175	717.4077584463843	255.1083680273376	660.6051110229741	890.6628611539553	2628.3713004679807	185.26207499460173	493.56940802375703	594.1938250779366	2821.395610659986	2967.941988788606	248.69266028059297	1256.3567837525916	991.790071152509	1046.1049350336343	2280.984295102592	1186.9478391239734	447.83489396323756	1368.0394866547508	231.30935013204567	397.6745520490767	454.5885824233598	855.3929113598584	219.71497427164266	2887.995873303241	476.4467490469641	1649.7842952620529	544.5435899287162	1723.0499452634856	2020.193067094463	1575.5039518991123	2164.1768869674847	917.1771884539613	1088.8670926629932	1762.3247016285004	6486.1820846911605	563.5589519342567	931.8754483582904	3856.028687785682	265.67423190197246
ANAEROFRUCAT-PWY	26257.230351517464	14897.601248721496	29862.6481061062	15660.915626684722	25580.433526797347	29990.46240717765	24925.148534948574	20487.48083652726	25851.482035190784	23604.674988086088	26917.780464428568	11886.565014100133	30374.97430672089	25545.49553188889	25689.52614875645	25379.359436194445	30150.036644105265	32314.12867794304	22763.26290388841	28839.713043434418	22887.49840082984	31401.24899632582	21971.351994965684	19882.00445428302	37750.87406785957	27351.870138797898	14619.222633205725	18299.51580124684	19532.78512222351	29136.758298323115	26655.605386010146	27523.46397349455	29053.76589756761	22575.649776359376	31059.628346990114	27241.434578934546	23955.016178944454	25970.84152810944	14200.72993514758	26529.030194179053	29024.97351886398	26294.015023900833	26593.814184939918	28433.701927602066	24532.115260933155	23893.35990938797	23892.194180808714	23064.286849786222	23378.54795931463	29647.12903428319	21804.95219380817	24377.617739278103	24903.53179349374	20775.236156590694	16675.081311502287	32884.433816753866	24481.446352066105	24327.38663802682	24997.3660003376	29933.041208257153	26913.60725649546	30273.678020787323	28419.409392365462	9784.096439696072	22258.783177112426	28679.676313032032	23426.414199521732	25722.481261744404	12264.449983857567	24075.86553106902	43211.44434396639	17351.1111983155	28271.636959325006	24117.668900919776	21106.426253087346	22971.557280704776	29125.201319478994	25544.644402423666	35491.50862587633	31298.180513653493	26277.46916349586	18393.43282866749	27780.094602825353	21680.012834704095	25335.624888519982	22888.52506073512	29406.261427782927	27186.395988978013	32996.46377904673	21917.178587807004	25537.286200654624	25369.672509045373	20261.495268458595	25341.90275938139	27618.897145773837	22738.137954128022	32760.2395146219	28669.88206554595	30240.070405810195	25606.13687758129	28587.18667037046	25204.212231804744	22530.56863818621	25193.83286742833	30625.92537746756	9981.6675850514	29397.2763225286	27402.27436762945	24538.36372983099	36547.19328299863	25968.829049829877	21287.770486667916	32936.54151508044	30685.214105420117	31974.542487468694	30855.190208420747	28217.143751264688	30724.876030288204	18798.44972057016	27882.219680017315	31830.947592539454	24573.74198667815	22829.247176320398	25271.249023294527	22633.402881313465	28681.954617473282	24760.812132294723	27059.889429193565	22568.238834680855	27985.199422366913	25095.16970957272	15309.229729581572	25851.88961771079	32049.680766035035	28507.435066035872	29310.828283152183	33801.50665929843	32011.37033879848	25677.66022120389	32162.074304519618	25292.78546830947	11137.056541318983	20585.945237152813	21457.171837341622	27425.21630710234	27294.390120861313	18263.80329144871	22359.66156508071	23653.76250469359	23597.48489862105	39220.73566092916	28243.6007465326	18921.872446930567	20552.36543394137	27902.04012557121	33896.16898610213
ANAGLYCOLYSIS-PWY	36002.75176771213	25296.82375879024	39295.72323777831	21082.358779572736	33693.510978860126	40358.64737663386	32605.468777074486	31349.055835197996	34079.96713997881	31564.253180527485	34951.019377956465	19493.86650138938	49401.3133981115	35169.71505614845	32767.20260453536	31490.5607920195	37369.59786595289	42748.14066045914	31273.04395476013	37431.86350444488	29916.189535377944	40942.6196549195	28415.388609693626	27456.96980996581	57666.022573832175	35784.49020790431	21565.58082943586	24229.351430469233	26540.905619357538	40158.12638089225	35224.170241129585	37281.06415966077	36930.05047784527	27541.904411658226	41449.45137466095	37844.307883250265	33463.00275837301	31453.439827593756	20413.611600889188	35391.17493744638	37111.826818443296	32518.58137017028	34613.41797952832	36507.86302000014	32232.72323574167	38390.11084781547	31345.555377879264	30087.83918429283	32631.468521156778	38775.98596597929	31133.73648211666	34459.9296311011	33703.346179610686	34508.034400952696	25300.457137714544	45492.20379844978	32437.892418859905	30245.72650489501	35513.520178559906	38482.27197606398	35886.11750203318	40786.1130264793	38219.73009325982	15834.300579799521	28084.43820288546	40280.44031415082	31984.00851572924	35627.94632847712	16486.733254709037	30482.189056742765	61148.31665712223	22823.0453610933	41659.990408788886	33310.56446671488	29664.340667766897	29028.31899199812	41720.77214290687	40481.10372948124	42857.706787714764	39944.12825041557	33054.03705702742	27260.28843500562	38629.20040200093	26361.482570790908	34873.5297745523	30874.70838251279	37998.32439124352	33782.9376843891	51540.94651089273	28156.32320037684	33580.96998965951	33162.316358261036	27155.26590766574	35487.89161655185	34642.98981179816	33081.88781880088	48890.6257653285	36905.47504268007	38581.09212794951	34985.312611694906	36534.02981469299	35547.673499379234	28919.27365467791	31614.315295165557	39504.499046517776	14832.358841414525	40629.43449311693	40454.19515115574	36401.73444546539	51374.53375762079	33755.68513430981	28267.36163641033	43520.598905015504	39206.96927875311	46187.26317686468	40829.261062871796	35298.05078151839	43214.27768212924	24515.17403058147	35882.00330899359	41458.06892511295	32708.073534653864	33207.116467820444	33828.90010639916	42004.25302281118	37000.70205728777	31041.043505108446	38902.74355154012	29014.89159525139	35698.92307393876	31888.202994043117	21673.030366011124	34778.74525396493	41789.28376578526	37435.70398362518	38140.18806273216	49097.3286709894	44208.67083502969	32446.598147459285	48190.59335031714	33360.48174212636	17912.492180879755	34373.51597998273	29049.23654765039	35786.736893558555	32917.58432587763	25382.5908816064	30848.40363547745	30312.23315152664	31877.807233849828	52085.89872658553	53214.80272493767	26497.04511325564	28476.46546018867	36559.01119946859	47695.38466573886
ARG+POLYAMINE-SYN	7870.108025119127	7534.9371767426255	11643.490413700496	7239.745700693888	5228.285476725466	8095.3226730747465	4106.937396030131	11724.612952718657	10156.810422579987	11995.861777305572	8852.291197641787	5706.602020542401	10452.490538493543	6896.409980667821	14521.831932827852	10259.668928835761	11672.10830082454	13907.87221344725	11043.730514792629	6855.594226932677	9878.833470881524	7819.777362089571	8946.275259399958	5735.9192941574265	11609.521162664281	11696.986405766007	6855.912090262257	3783.02016032674	6173.574496914451	6990.073203762691	9806.583303069405	9249.343905785116	8075.857992395178	7210.820575005203	7351.93852103018	11054.169579975447	6415.334247128948	13095.67285437446	5877.72432120177	6441.868473442196	6448.572990952316	7006.415078706208	5999.721086469245	5121.2524426981	10415.797151712492	6924.188546814408	5741.412405795491	5616.488892957101	6770.186332003439	8107.029527548884	7045.7877471665215	8215.940652756797	7925.098991202259	11469.931816448627	6251.698407122078	9430.523636152124	9496.494746206197	7576.241872638054	8778.489977464013	5572.795803942136	5569.743126536519	8047.65134880404	6255.865994373353	5866.940203404201	5699.692810979324	4536.687905640779	8583.369688505027	4701.240361583477	6169.041175585259	7631.578957470432	6947.487378521645	5613.076248186742	4761.927639503093	6092.510388733629	8025.088876348193	7521.0162425105045	8995.497827175555	8177.992812053111	4540.674074563419	13020.963177298469	4713.477637690397	8432.159587455557	13654.2985206976	3255.1469779184986	4955.805766940157	4746.460758026622	14573.97761949336	5051.037040771972	5640.3684663020895	5795.271956254801	9957.574309818148	11835.842596532266	9963.206288468911	9058.905952708245	8775.091970884496	7660.761670155764	5476.302441308573	8275.502878234129	10523.626630447328	9619.9133215602	6252.407943966758	7534.8363574019195	6453.324907561681	8225.056770020463	8684.822640440023	7144.424238237898	7717.526778899839	8798.795615198364	8741.533179307211	24035.8434690484	12180.382577600994	7704.93780306491	9447.648309603881	6851.035062329971	6651.7884169365525	13018.292597983733	3765.130206569643	4591.81370031013	4769.752716444317	9904.989291504804	6171.634783707255	7619.232692451637	6825.287717329237	7853.793934713424	4073.81051778565	10876.401810018295	7380.954937900723	3449.9697267350157	6741.01892803916	5885.956044613872	8289.700282277186	6560.634940431976	7781.311951241394	10659.713174181614	8336.601908705929	6040.171671794297	7557.875219793355	5334.123361247168	9789.649455422086	6852.963396285666	8687.626771261948	6984.917800702183	3128.10923167577	6808.556624661722	9405.893614582816	12076.845138332363	7573.851019026633	9970.113599683044	7323.038360026233	7580.19776080264	9637.401498666577	9347.061096726715	5465.4677719080055	7375.460010467921	7883.128022533385	4672.702620528229
ARGDEG-PWY	43.5568447394359	11.413156665408843	128.68737487663105	10.292912107662621	123.8037248164551	1238.9483809964504	30.01853064698551	80.5404844175377	52.25243926783863	5150.577327185476	284.8758397453773	1.645325523749675	782.3088902750793	0.0568732967999652	1606.6004837093233	85.42647456500426	146.9433289186582	60.4176520327867	0.002072480044731073	29.722218032886065	405.1886879000828	472.21806443013884	36.915228761619616	25.675909445356268	40.38514537325694	182.30968902516344	34.80899600918182	5.670089496980667	88.19217767257722	2.658752993160302	190.0703838866155	8.68146015796479	64.9936381715429	20.989736808280384	568.3002825175298	1081.5316952662201	0.005718386693563171	41.404335112669784	363.70084775236137	26.059485409548014	11.673498050374262	1413.622057844976	148.3169823014531	91.95710661331951	3350.7966604834633	0.0007635836930086803	92.55283748730808	21.18364415298144	91.97805074996286	30.258845289912085	89.95199196929302	10.567534521103752	819.6908373140484	327.04918372717015	312.91349620171445	82.65674995905539	265.4662455754548	237.49431444713903	399.1072946123737	0.003978991144921571	138.49253133776972	136.7957334655915	74.68936789492331	129.94471868630737	319.9582072825167	9.334085700639731	235.82657419092263	51.50147546085225	85.91899638649431	82.03901888572844	6.344999864656428	126.48444880841836	477.81625598793426	20.648814667389058	9.131222004534436	10.66855410729616	5.504089248601916	0.011951292025964368	65.20921047343188	0.013940473424331997	66.71908137089656	469.440696198294	1564.6249762616048	11.933980973442866	0.0005331533271603948	178.10659407283404	125.48319775034847	490.0253369986227	32.75453505607204	4.332493492060665	5.143310151576654	46.71282911606986	19.7819741621224	49.46227259964425	63.185771487547264	188.98769391627118	0.001190227234295605	2.9781432906126444	45.81027181939584	0.006491498785634507	37.08329868996899	0.9038477617680214	0.0007816569671812696	0.000302157911042019	104.32471585306004	10.151990676250755	34.5829189746064	14.165719708713	17.925320006371415	18436.614455404255	27.502637229436328	159.69054913620096	129.07021623266775	6.946609122008711	0.005185246100536851	1177.0539579143851	15.709337133236316	43.46016507639932	13.96474338939953	0.9047801942379066	56.56029401437891	524.9039414937547	0.02903457817178407	8.521338866463484	78.4415098141206	33.14349825026852	558.1679431116502	0.0	52.86436352715955	28.148881095099313	95.01724178089991	354.4739408906861	0.014410457777671892	41.93234954765379	3.8800377664266	17.58628470574351	0.006641798328103194	35.9506145437311	10.927149969281473	25.73002654247786	495.9256135738008	35.31737613388638	443.0922272773356	12.558735675675537	152.97372179145452	27.218054700818204	506.5905728738937	384.5239113591559	0.00032570034737689114	187.47874896315568	165.08779495309744	2710.541166634583	54.986527057701316	67.09671574093544	1719.1665116683266	26.06678574366104
ARGORNPROST-PWY	5579.5010725774755	3743.115865381496	8579.129755313643	3008.182945375174	3645.5075877670633	5527.775657127517	6488.3666966752935	7225.0298544023635	6622.180947613156	3793.841149961962	9969.042999913794	3436.887846273727	3717.5581626545622	9271.290686722128	7874.933178062029	6951.621265707618	4999.781005226868	11381.66287594355	8311.420026842348	5863.56450444265	9897.233660464364	8080.249096940736	4136.035906484865	4739.884131043288	2798.964419674358	8709.34419622449	3827.660494109775	1929.3430581744235	5254.7706442764675	6157.124617980955	4734.769291971709	4012.9945224983503	5639.950778801232	2713.6700505253143	4381.434262967631	9859.471543384689	2605.380566889129	5942.241406532655	3442.9483586139827	6147.378491411746	7056.2733138655185	2400.7492988251574	5641.486477263041	5977.7253549830575	4300.57522321977	3544.3807212850643	8548.753390219672	5625.307248399579	5620.765778354099	7835.202034874628	6585.716277509065	7477.912403728885	5954.509352195979	8231.462859638657	3896.7377626462703	7106.477072156828	6602.214065691312	6404.758719011403	8297.283805233823	6592.625854573641	6082.3893497031895	9077.217808615744	4353.268408236717	1853.4657279192386	4714.513669939666	4798.054255449387	2386.0096439586646	3386.1117606418643	1779.6860088039496	6147.901182824568	7025.9579346689015	3822.311349457092	4503.06829351492	6694.368644012251	4119.706359208617	5615.1801159058705	12608.597566091454	3535.6525464028323	1500.291618928971	11304.41490454736	6804.757886442388	8520.461855994827	10136.92005559278	4998.326978142685	4372.484664903885	5105.296223753859	15804.703286060569	2797.221384146424	5440.930378063211	6944.378464886135	5268.318365790704	8381.750384603554	6346.966815332974	3140.7429713064353	6778.560894084551	6848.565269029816	1386.5051170371296	6778.541538593098	3259.429503753257	9417.709685202819	7862.3570199062415	6535.378793014729	3227.438187251596	3235.6421573759394	5754.171597775815	1169.4068023344819	3931.3825669093935	2752.8001469121996	7186.05876228981	6939.364216877213	5665.321499363321	5334.930609862348	6136.244181544429	6372.694742382382	5883.881852728991	6066.836204360786	4541.108632039151	6497.278512041032	4985.313345533008	6438.036353353004	4858.816207526399	7667.4479810188805	3212.2215370777976	6244.128015451315	3252.10069664891	6707.098241566323	4857.008890476519	3375.0356072285035	4710.133016716799	4844.314959171486	5063.475750694032	4708.0239662601225	7332.250786792052	3968.1344901086727	7925.43180023659	2226.2347323553267	2685.0942708767875	3631.6209448806067	4635.868654224708	3498.1355851539197	6162.533210509867	1463.0025257778664	3017.599304942495	2256.080564228471	3520.490821836024	7972.091436772787	2875.8458546046286	6056.969122629634	6560.492390104748	5984.649430912924	5092.198674303182	2138.737508439009	3737.5232329178302	8028.878208164279	2799.3543320236704	4193.2175422795835
ARGSYN-PWY	23240.28948337884	18084.43925672972	25773.88294942124	15779.392122722209	18753.601636126856	24797.67131197357	22692.51720185953	25135.89099833803	22647.47012561954	19932.542591146936	25317.462398278167	15124.72281242121	25446.502288045886	25979.244129275532	28921.560547436817	22142.537300099604	25207.149280716785	30940.232573342386	25606.363188822837	24492.765088975226	22136.55539851149	26063.35337682433	16977.954275386284	18397.442899809215	27604.27534933227	25274.380433584138	14006.364025909339	13307.37535693985	19517.049719117556	27179.11963024691	21538.646413122908	21218.389095802857	24034.253691557475	17659.47692851959	24092.000625824192	28276.089931395265	20824.785853863425	23038.252230398386	14882.792789845373	24118.95855887584	24904.711589530056	17989.095845525517	22920.452294130024	21548.145379829868	21054.70927371047	18594.17662520899	20801.472422677383	19489.51112029486	21239.637895423264	24650.347307646403	22915.97699173093	20749.22784483313	20458.562896086223	29437.137059362027	15344.460937530534	29069.962509386445	21899.480966533134	22160.627945055025	26247.10409779976	25654.423981333344	24333.07885287789	26862.569837864314	21699.4296496731	11816.777500827555	17964.416797061614	22334.13550955748	18936.405458419118	18434.987850679085	11023.958927259488	20636.61481703841	31076.927317942664	15950.41013686785	24192.678155960268	22377.502794283595	17023.517216245655	19439.733011851687	34017.07526144403	20286.6762772128	25048.15901323286	28064.919080941032	22754.86855566652	20611.449167808347	26820.895286197218	18142.87861987399	20427.64889284303	18967.01655357378	28995.091448553107	19693.389336480177	24648.175680858723	20594.06829764286	21916.636976380294	25004.935296272586	19617.203813237844	22000.01626283257	24385.39341582134	24217.97391918958	19872.755826458066	24238.073858409138	24484.23005130789	27369.044322136113	24952.25216845144	25737.39092311103	18047.016025051405	20760.61911915761	25063.279119943338	10892.443392933259	28121.081408698945	20933.630429234672	23891.658002134347	34945.78188969636	24922.675160399664	20042.382292743987	27734.152061203644	22699.02869506553	24387.24136377581	27417.64800351364	21222.158465206827	26648.172107951934	17680.055322286684	24524.739310184606	24366.189362875557	20744.41859328422	20576.617684247827	22106.455961509942	21449.05502542672	26591.401456843872	20981.84514193132	20654.329269194386	18799.395241829036	21444.56736590105	19895.24724053065	16626.731634169595	22893.468055032292	21816.577312831192	24620.519932329138	19145.478836418974	20142.624763961205	22295.60213268436	20767.1328518441	25042.104654109557	24428.840752749464	11940.846147822727	16154.182575492561	13592.001301587286	22893.511107980856	25526.506322514248	18197.43005811564	21364.80195044647	21014.788275267154	22441.548139138446	29970.317066723706	20314.730388935386	17287.335777588414	21400.153836384085	18660.111417898384	24040.75049688396
