# Constructed from biom file
#OTU ID	ERR2585962	ERR2585963	ERR2585964	ERR2585965	ERR2585966	ERR2585967	ERR2585968	ERR2585969	ERR2585970	ERR2585971	ERR2585972	ERR2585973	ERR2585974	ERR2585975	ERR2585976	ERR2585977	ERR2585978	ERR2585979	ERR2585980	ERR2585981	ERR2585982	ERR2585983	ERR2585984	ERR2585985	ERR2585986	ERR2585987	ERR2585988	ERR2585989
1CMET2-PWY	42561.13733812769	38154.63693296322	30494.65303805796	47640.70981636733	32682.460729375303	46812.22108961892	42572.1768420558	47305.932343993845	47094.73042620242	45661.573984341165	36350.160848180356	42151.173682171626	45359.40865251851	4322.986095175276	46375.30825655644	48030.472011011996	34942.979510744546	44964.15372463632	37968.0646631787	30274.341877819395	24074.26909469197	53979.85286504391	33186.8883147485	40969.98434540043	52878.74729712283	44546.29937139032	37483.575161840556	45633.47636915528
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	30.173415575024457	13.322386584157254	2148.0868426737597	146.1488546196457	552.5584625358287	153.04878038504364	56.711538517583136	42.13707043016427	59.78940258295425	337.5326029592671	62.295283049302554	30.53448146058202	297.04169238047945	2.297764136991451	132.09722238452864	16.97392864102036	106.34816205624088	608.131442457305	19.226783625313775	15.59545644004785	189.07542518668632	6.056671465656972	3.733571479326654	65.97115427731134	13.834502448489488	6.351285051191891	16.939394360385787	18.988216145912535
AEROBACTINSYN-PWY	73.64122896328237	30.754183629252324	1857.4201138771339	10.368854959204327	13237.929323155275	99.92655205120644	7.342861928107558	522.6964399713792	135.58192024283238	197.8697496737868	426.4030613243332	20.174134123634513	3.060057687266444	0.7093574029611073	161.52362512802858	0.0004281983430570169	121.32057018541205	798.9842354829215	356.1848796140964	27.70926922526953	46.125173374234336	5.6135648356813945	1.176950586786728	148.6498522849391	5.665312172470613	24.227154133346296	0.00054577000056932	187.34903401269082
ALL-CHORISMATE-PWY	2063.4166224634623	1486.914143506662	5779.068348870589	2418.6141600964634	25314.94773199047	1086.8328609425819	694.7852095460194	5545.125307486952	1816.231488487154	3416.6075363250047	2910.3497338997545	1189.7081606461238	1458.7856791361273	21.493494636952082	2227.5111369237497	431.8546513698937	2609.2520446773487	5918.090876294332	4434.610644333526	512.6487182970073	1503.3634222888347	588.6492703634322	265.554943691869	3361.1809055430663	449.6631003285717	271.9567316892582	646.5423743876172	2280.5818880150177
ANAEROFRUCAT-PWY	50036.94073832814	43375.912687762044	31530.499078738074	44111.58554238687	45736.2043325385	43706.81962893316	35263.7549142726	42538.12123990903	45244.750711007706	53667.13877971879	41918.43042657646	45219.63378681139	49603.24770613057	4613.050399441814	42963.706167804456	51265.612812872925	36609.46987240513	50367.84491530963	44532.60097843699	25586.208063679132	21446.23139372437	61063.270978823966	28186.839017081562	43345.751050521	57258.562743527276	45628.91762532766	26446.575629990435	47901.26933618418
ANAGLYCOLYSIS-PWY	63117.22008549738	57274.83178072324	44682.90444761079	66104.46048676451	48069.96021866579	62858.966725343824	63191.83356350729	68586.26030156546	68072.04907380242	75576.52222702529	53005.5291767179	59474.686480664226	65729.93685328093	6613.671968485073	65118.66758064996	74846.21854999811	50657.27687301055	67385.65804184055	56709.965275220704	43515.20871342218	34684.60652525201	77713.86041377991	44185.97037489712	57928.55843699378	74233.93310386442	67340.33855669376	50917.39248981078	65167.87013527676
ARG+POLYAMINE-SYN	14141.78156436667	16277.188110156398	16619.241821917913	17774.607610517804	26343.152178574564	15679.992272479085	21120.317557975843	23656.225879392212	25871.49815840716	11740.744251598759	12984.675558069797	13714.947581106888	19480.132489656582	1476.8471869147127	12296.610498182006	27893.424583284952	12755.310334805916	14881.302830255008	11621.789129956467	17016.68936431471	10793.13827150363	14318.463606445797	8817.424366920926	13532.844054065055	12822.928775315613	4378.87698998671	12619.46725014846	15261.381211536445
ARGDEG-PWY	231.76499736518502	191.26854391433102	3430.7910795299367	177.9864540013329	10428.601389722824	193.3534194094776	36.326240070496844	608.9617393021641	166.45545288573632	886.7521655582092	413.74561057924234	50.36011224886181	136.47744780943435	0.7398150053717713	286.0841502113129	9.76818300797485	221.95591267591863	1731.295957951577	1320.9764743814949	45.28284636775996	38.037463972858646	14.259874167476582	5.128033935684289	412.9888066504029	14.002807227537936	19.914686731677286	36.17508588146663	182.24884144563188
ARGORNPROST-PWY	7833.724348144895	7709.563715516912	6496.593570313074	13013.292079237179	1885.2814812492868	10907.423171097322	11243.472390352195	10144.406363613627	7039.5725892953715	16505.272627809747	6230.900270474117	8404.99957071248	10269.742382555201	1004.6417169750194	7161.231752041566	7186.952122765302	9705.72483745771	11828.322754494382	4600.9369309983285	6050.334992545549	5869.996092277483	6421.60097642582	5788.989427142638	7936.262928262428	6282.007067701195	1833.1704988583315	7914.441611494909	8157.333001732626
ARGSYN-PWY	40451.265688811516	34314.89777836626	31617.95899909601	45509.309393492586	35020.647006600455	45910.896952727686	44563.33511293077	47661.47293463371	49744.626270018554	58845.72369853699	35111.17443932524	39679.63731447901	42056.03422378953	4505.862384636303	40457.41953287606	52551.62237062974	33613.4478023879	46421.333157136	34191.18500071031	32649.7784817306	26011.034001316908	46255.772793353026	29523.60186285525	36072.04235294265	45201.39814269565	46015.19699076126	36146.64376850024	42215.61580177897
