# Constructed from biom file
#OTU ID	SRR9198470	SRR9198471	SRR9198472	SRR9198473	SRR9198474	SRR9198475	SRR9198476	SRR9198477	SRR9198478	SRR9198480	SRR9198483	SRR9198499	SRR9198500	SRR9198501	SRR9198502	SRR9198503	SRR9198504	SRR9198505	SRR9198506	SRR9198507	SRR9198508
1CMET2-PWY	498.5123528345184	2007.9789954285739	7.323785471755821	239.35500265660394	11075.278545165496	2044.8777936257757	15398.508862136154	20.440413294312076	74.2937420042089	12008.375690188053	16.302339182476736	39.39488060455929	241.90436804881912	352.9629714389535	0.0	197.81197419063594	2511.960828396558	536.1869138807618	6323.010695583646	10900.161464156468	10.474251692922618
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	0.023470262084374974	5.7825396996554685	0.0	7.463944958548578	35.13127215193731	23.840593016504926	0.0	0.43478913677942654	0.0	2116.228225771683	0.0	0.5844242775410812	0.3880290360986424	46.74286806063679	0.0	36.98234453062559	6.453388606837919	25.04975348475283	81.99440678545677	0.0	0.0
AEROBACTINSYN-PWY	0.0	0.0017852099975130022	0.0	0.0	0.0	0.011586163855605439	0.0	0.0	0.0	0.0028289025011358757	0.0	0.0	0.0	19.0	0.0	0.0023402615749747967	0.0	0.007589330281647521	0.15325383623297303	0.0	0.0
ALL-CHORISMATE-PWY	0.32427133047175566	30.712471136183833	0.0	0.0	11.782717998022074	264.4689091250028	0.0	0.0	0.0	126.93491135589555	6.727840305181818	0.0	15.164489893047005	91.46552618270884	0.0	35.11484244688366	0.0	110.87886023299893	3953.4274950145964	0.0	0.0
ANAEROFRUCAT-PWY	22003.991201084726	5229.667493769703	4092.614351389359	302.40745729877324	28005.637205825133	25471.226788114644	25562.3517765485	8251.676834453607	314.8853147895621	15900.877503325237	38.892773895108164	42.280848840872274	962.9712414479807	1113.287763809807	3387.2147400313406	387.6223337873261	6296.6668672796	1786.8080685543976	8468.871135142695	27828.521433904392	55.87169774956281
ANAGLYCOLYSIS-PWY	20024.44978867833	8446.06899638378	12970.396738755167	294.1496921142172	34393.39053349275	25781.770100463265	29440.149812496715	7500.970876658136	489.8655345897544	18217.059757350435	284261.42120031087	44.7883587118933	20335.7808083636	29367.851171408423	44797.63012324618	3096.3396473805096	45368.91241974861	44398.781346440424	10165.756676741072	371933.2648956318	6219.977038727809
ARG+POLYAMINE-SYN	96.69755053564322	402.81398330358803	0.0	13.980086498262244	2500.5748955396516	598.6027607165939	1066.284972323761	7.437482034334263	0.0	9603.613614064916	6.593503213928454	0.0	41.657346106137254	109.56205955903242	0.0	53.86890006459056	131.21260692935874	73.23212724651884	3432.6622407656346	112.70919201666898	0.0
ARGDEG-PWY	0.0	8.168318483042867	0.0	0.0	0.0	56.41879518702416	0.0	0.0	0.0	15.781677596945814	5.112791877502815	0.0	0.0	45.165282117299355	0.0	23.9000465045494	0.0	32.70916197234756	2491.2760743129247	0.0	0.0
ARGORNPROST-PWY	55.96800507084418	359.4347481127356	0.0	60.080304953654455	2596.4042347866152	3832.7880229305674	235.69174148037888	8.338377791128176	100.18027575524597	1150.8376665526052	0.0	7.808597885778633	113.68891892592238	270.87832046711577	67.8061520024047	350.8899004344878	478.7505397972001	218.22288235837703	1262.7115132615372	50.68172602413812	8.215880866721635
ARGSYN-PWY	310.4052728620174	1058.8123906666274	28.638756486450752	252.28530895975967	5303.275379813736	2636.0764568639593	12661.90539894523	6.989123504889417	30.445562365568378	14073.144382158893	7.870495137756005	20.955588337491026	98.39756041616089	189.62497631134323	0.0	76.60693570805682	897.804987649955	212.19741295872154	4594.769051625798	2433.9110313234073	3.7743259468087103
ARGSYNBSUB-PWY	348.01180852738014	1196.6377936088184	20.04896710782665	263.0797372741276	5696.160675496722	2190.1151780711853	14679.833945494302	6.917967923437506	33.36518826378604	15705.229132311755	8.889691665355048	23.401362865691492	95.63966253870485	168.27858997251198	0.0	76.73128997730214	1208.662627728244	187.07618538556747	5000.184716521544	2812.3489532750013	3.9000693861605096
ARO-PWY	265.78917152051383	2167.64574646165	806.0215361319194	265.30130740491916	9261.749657527422	18734.723845649813	12937.045754417572	16.701663239646646	77.67897945008546	17191.939843003533	10.360828155101698	31.853328114426375	132.98413651491762	151.199334501509	0.0	82.92247152197916	1397.3368942161976	285.4098611401599	6519.739025307051	4825.526981189114	10.192234657114469
ASPASN-PWY	757.3638237960706	2198.7130404474606	16.32848468705636	46.072398776374456	11597.197142339042	8356.166621019418	16747.700668635505	26.921117933047718	48.82379689168969	10888.27984357432	12.55615234011932	25.385058896289674	131.21485264180794	157.02369178530498	0.0	87.99234795547342	690.2704118950134	26255.83541592054	5366.663773405982	10496.422402264505	841.7376951309164
AST-PWY	0.0008061244571914821	3.530000004674666	0.0	0.0	0.0	56.61615552424904	0.0	1.9780091227457255	11.66706080889925	21.660327108660237	4.0	15.47777777777778	0.8111111111111111	42.268844660326295	0.0	39.18620171764353	1.9444444444444446	35.122795221854375	2049.662962812715	0.0	0.0
BIOTIN-BIOSYNTHESIS-PWY	3.502173912444997	35.37725911697025	6.363486726784595	25.3868245931856	409.2731323210988	628.1100389634008	275.4934065453172	7.310451612117732	21.859023742843736	396.1633986373198	6.868882548400942	26.818468107550988	23.13819419766645	74.25079823100693	0.0	57.87939582308602	29.950299196349466	92.62243834612264	4137.851313838737	2471.4920294013205	0.0
