# Constructed from biom file
#OTU ID	ERR2625058	ERR2625059	ERR2625060	ERR2625061	ERR2625062	ERR2625063	ERR2625064	ERR2625067	ERR2625069	ERR2625070	ERR2625071	ERR2625073	ERR2625074	ERR2625078	ERR2625082	ERR2625085	ERR2625087	ERR2625090	ERR2625091	ERR2625093	ERR2625095	ERR2625101	ERR2625102	ERR2625104	ERR2625105	ERR2625108	ERR2625109	ERR2625110	ERR2625111	ERR2625112	ERR2625114	ERR2625117	ERR2625120	ERR2625121	ERR2625122	ERR2625124	ERR2625126	ERR2625127	ERR2625129	ERR2625130	ERR2625132	ERR2625136	ERR2625138	ERR2625142	ERR2625145	ERR2625150	ERR2625151	ERR2625156	ERR2625157	ERR2625159	ERR2625160	ERR2625164	ERR2625165	ERR2625166	ERR2625167	ERR2625168	ERR2625169	ERR2625170	ERR2625171	ERR2625172	ERR2625173	ERR2625177	ERR2625178	ERR2625180	ERR2625182	ERR2625183	ERR2625184	ERR2625185	ERR2625186	ERR2625187	ERR2625188	ERR2625189	ERR2625190	ERR2625191	ERR2625192	ERR2625193	ERR2625194	ERR2625195	ERR2625196	ERR2625197	ERR2625198	ERR2625199	ERR2625200	ERR2625201	ERR2625202	ERR2625203	ERR2625204	ERR2625205	ERR2625206	ERR2625207	ERR2625208	ERR2625210	ERR2625211
1CMET2-PWY	25422.940271431155	25680.17471523997	22481.19698404713	20176.71798243988	23094.38115241701	19469.81182870138	12911.814844142822	31630.302361156537	21246.168139480767	28604.617805084683	19419.53343370294	22882.586870203242	16113.59240094067	21319.80338798734	29605.735915886537	47689.13206241704	26410.19789285984	21651.27099290218	18562.691279562503	31331.705560241804	29580.887190646183	31739.919938966592	26221.31193234652	39636.3912140083	34891.533081953516	18942.089956621596	20959.238873595852	32359.181179930245	21499.83823822366	13804.349930332603	38076.82363121074	29051.36984246278	14454.35336466096	47871.466842791575	22449.989362391407	19514.210788491277	29974.599797180756	16456.198055150136	25611.885253918077	46493.802439826155	18997.225504856135	16412.60256319942	18805.034176330475	16885.26158874009	14870.880528597674	19289.757391431423	27648.60575174005	27932.13495425897	17803.274425924705	25173.153227677652	11034.697766434241	16128.731925527149	19491.545683111915	29697.824850904803	15703.291134882857	18726.26784205431	23398.51225339741	17644.768715180504	33810.06248441908	21953.1604780023	29108.18909809825	21647.056022038676	25807.547807590403	29996.91039715749	34856.93581173794	18895.65826617003	24225.943086420488	21627.210598544294	28129.19474004882	23888.831109717685	15526.379667230907	21626.930095330208	20356.644819691173	24668.314419292376	21633.359507710462	23446.29379435572	18440.87303724891	28699.17386517511	28960.284553694895	20912.31958587162	17674.279393642177	21236.45551961901	30232.34086608141	23930.471043636415	27625.594543996387	30390.53023617157	40174.70819387911	42107.70256623498	26340.540010226152	13848.214668218927	13048.63695229611	16758.226486523345	17542.074443151534
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	1277.3183942169426	96.58855899301537	394.7679202133546	19.74687980568135	15.27983429069422	11.477189212532053	0.5071341396314932	12.458288793638712	24.801303379797105	154.3021087027055	10.968729818466803	217.46223820574852	4.0414818905243	10.953807866893827	209.17842816986854	2107.720330359193	356.1352960419462	356.1977222658944	429.24214608569633	74.49839922224379	955.6412989833378	472.3165512011433	2.929294099004028	52.71341989011004	958.8988716756877	1.194628011821049	9.994465176398762	14.638191661353458	590.2540634576438	271.50163134225346	53.99558616945881	665.176915732431	0.5355780633440064	6870.25180606351	0.21268700850264913	462.35819830026423	22.278031859368213	32.12486606762292	6.338195869907845	10.500849983370271	199.2452245947901	8.261028071805276	2.5414181646769896	399.1863973224281	60.98833155348577	27.02467475641667	126.95552253915413	182.79882888723745	7.4769429978381945	1588.747808350285	0.6999089939776338	1.4633564909234291	21.42682367403627	82.85583248719563	118.2345386034285	499.53986335068316	187.39732204038378	1.5735279898451118	76.81104114913995	26.731422884796103	6.1789033697598414	385.10934757829625	47.66524550813857	20.165221033946516	37.864607736803165	51.1533697471669	6.036801044011069	50.162659539464194	1011.3154399425847	424.55818822339603	9.955650639304489	13.67993588660688	5.007115674371843	570.1238595831846	145.30301776335097	157.66171752182925	41.168341828940775	250.02679918419005	2.8665128239783675	337.57778198066717	49.176015222427075	75.03759141195886	15.463140934886813	11.215897942946992	26.32761933283279	869.7555602689666	15.456562401977727	24.33768001941805	300.3793654420895	6.185276724984378	81.25922505982584	16.165004194446954	53.930410026238214
AEROBACTINSYN-PWY	465.2354230076266	110.99145631409458	24.121164408083168	32.042405376064856	2.395637200770434	18.16664942923159	0.0002189868563102349	19.085553606107265	226.58441698874995	2.9125920920317196	5.836189844303085	45.692723129472725	0.00012228503357090555	1.0667990122441806	6.547392415269524	15.98350708573796	9.80926938908436	118.71719136553261	37.33077531169621	38.32976077935693	1.6102870424613764	103.46611649953236	10.727145961026666	11.796510940086874	602.0298059683457	0.00030228943817885937	0.0025532446644589545	0.0011639868567969972	37.51161115354076	12.192875409480736	0.00013762179261270997	452.06647090898446	66.09857563264447	5492.968877097724	20.42347092642744	309.63360621175957	885.7432892103998	139.3179535795403	1.8532253128682983	98.75912746232927	208.71994693845224	0.0003025007688967799	31.102475609605868	0.03832465867537786	29.82638924021307	119.00434272579007	697.3338649303676	1001.2695906009394	0.8820561832982576	504.22984551643236	1.3045967973030017	0.0001376100657248225	211.3584135316718	0.0006481521255158808	15.611381199674552	68.01639653563608	64.17577618664504	137.38994814086539	230.13424999072456	22.553323720411296	17.49615749817189	80.31074078594071	44.433401317855235	13.853982818632042	57.49764357773173	14.698863664483634	6.286261115473412e-05	6.132624443995159	0.7003302886591456	341.3809786420151	6.929080184319919	10.322706043454184	163.76382626052865	23.408402862239583	0.05387094574516788	112.80516361943938	0.0007327441668737591	2.290288409233202e-05	8.114531533338242	1.3310666331251315	5.883192214029894	51.474677645478074	0.00041402085346839705	0.00040483002549472765	0.0006345212892921191	1503.3622152858436	4.945505432170178	67.86713243367225	181.77343470903668	3.4608441353666253	6.502151556858595	10.000009611098786	0.022403588208361018
ALL-CHORISMATE-PWY	3125.059263571424	977.0839965078463	929.6536476052235	643.5229466487582	445.815623566391	960.6934753968186	27.571628797714013	422.65334543378464	1967.6517655146201	928.616445803599	332.3692820516316	744.5299690324965	409.95176940655307	464.01365285524224	265.01691467618065	5374.210394302134	1171.013257450957	2614.524299241307	878.9238559351887	811.1057942239381	476.61361932845836	2570.9449935551647	303.9819610988237	2702.646172515736	4952.226064602155	106.05469254059552	212.2483532187455	167.95421854144712	2442.1510181852277	1092.8259984294596	531.4922212174395	4052.2267902089256	452.0079885645533	17126.462564995825	384.5697142534765	2252.117826111211	4814.021064084979	1309.649769784389	200.18286911172171	1329.0527832416465	1440.1510997998835	33.41876646101441	887.465305393792	1840.9712654383288	399.74991341042943	3352.3790784875455	4733.640750039375	4357.624432077594	1388.4923154450591	3217.3561243524223	61.82342666738395	62.15265310162918	1486.5225506019942	988.2234951231218	1094.8418093687726	1005.8092167749825	1536.6301677886267	779.0640688479133	1849.8639432221685	888.8130487518974	603.6777064606737	1046.3762697961827	619.3687842504829	1338.807929246673	1882.4802274695435	486.88753595689843	164.16843442952657	893.7943270049724	672.565034178829	3169.25075952961	815.1257775708061	459.05315749330833	2337.1857510965683	1770.5693929606134	1446.393539761568	2243.434732573326	207.59289149444635	420.4393173191629	562.8213506902439	642.4206396145429	450.7883502237332	2231.7298460606585	588.2585630806913	497.502659259437	814.1030213507884	9236.949024483665	749.07552128321	959.1559153589894	2000.9660708960598	369.392032928066	517.717412151771	204.53248450660138	391.735649992758
ANAEROFRUCAT-PWY	25363.315218343432	22688.181586400086	23192.53371840823	21492.58689803452	22494.93474306356	20790.578964606248	13859.424707501694	32047.654978607843	22251.336822259866	31311.728017330923	20868.4706039419	25083.23451983254	14536.132121335337	25320.720243831944	26580.167635389826	45608.93053063334	29445.622501924558	21472.580679191804	17852.89064474311	29154.390618708097	30477.78539577327	30760.77644091955	27115.713320291718	43163.719952040134	31624.629857527623	17530.54537490948	19660.516796111497	35766.54933083231	23522.323846720436	14736.081094276875	41170.611671897175	26931.87282242784	12003.70682884401	46770.21396518057	23119.862719249024	20137.319048110283	31339.14607460494	14902.453053630485	24782.37768793947	44107.650495799746	17535.508875187235	14904.861706560225	18485.110239763264	17205.21129339255	13977.44688280344	17708.060311149373	28228.871943175374	26016.716770315503	16023.147461435945	24513.787624709737	12019.029453409737	16077.875970658184	20589.621529498876	29111.65254225274	16554.672541044863	20425.17076991512	22785.149875210554	15481.115237050573	35020.991479145996	20165.530939461714	24155.01678432892	23494.64363708412	27484.673396804723	34384.95187780552	38711.58967147039	17340.836893299354	22836.363357643306	19745.56880768207	24118.10803187774	24193.28170796667	15262.056858733393	16459.752297962088	20301.406369933095	23470.310505974187	23586.685950321902	24167.760703588094	17926.0075956057	28938.51910769082	23318.010479415276	24073.59889044524	16060.301606271642	17275.811695166438	29062.984096683056	19537.255886130253	29202.965155154485	29103.028720159564	38545.32592053539	39151.22647141262	23908.517026049736	15627.459099532422	14116.697748930515	17199.690897676268	17362.993622136244
ANAGLYCOLYSIS-PWY	34703.56457133248	33119.69248377601	29337.759318963395	28600.94637167554	31148.654691761334	26054.184694078198	17526.831608674027	41301.46063373721	29218.276863838666	42556.37551789546	27580.87771637271	32647.34590900564	21851.855911115443	31196.152691991872	39249.24657877782	63514.1577843126	37839.480930273545	31663.233427696177	25563.074418455417	45704.733216352186	43115.50000333857	46067.80646100912	29823.6824428837	57296.93018918	44089.82183206907	26310.3674900129	28793.430656172124	45703.00782616391	31328.72807999735	19904.57000071786	53468.16631335347	42064.50453077468	18776.982877182087	64686.93080461358	32742.05557362956	26486.993278755028	43087.251261583304	21236.732811602425	34085.425055515225	63547.76513002483	24763.314626695137	20897.047404458503	25211.84484883196	23198.175814741895	20347.9667006415	26869.241912885853	36231.30448636322	35508.172554979355	22145.57152563049	34070.632631761706	15779.875322029045	21585.193746046523	27626.349863325366	39937.19805546171	24004.441344419032	27183.61547339077	30903.599215146325	21437.147804452303	49140.14257317221	29880.50023725193	37456.68274157121	30172.205545459692	37426.91761250657	46487.53336729136	50796.15280392829	24848.121667795116	30053.99769942849	29841.507024909253	39143.12086372252	34922.98860214248	20989.42526247295	25588.054960278205	29061.90017439636	33759.130245444765	32009.89134182956	33992.68813091505	24920.157376431533	37601.967996594256	37773.168666369966	29572.99656173986	23995.549806214658	29872.93305024609	39992.56982628281	31899.563841837335	37754.81795289363	39244.63437218035	53108.70172759818	58906.47172388579	35142.781568691265	20357.246442516906	18022.0538538545	23109.392124150636	23627.23612011583
ARG+POLYAMINE-SYN	9326.219926262209	4548.2611051639415	6235.5498664933975	6108.580314942843	4472.104862352692	7180.256001089001	4387.177193165944	10084.604485578599	7738.307924530276	9586.028661583146	6004.040905458739	7754.823374900762	4274.470729536701	7646.600539868892	6678.331105823566	23241.336330511484	8661.971068582334	10793.007690816716	6190.732586745831	12074.91217573726	14468.96537877812	17032.54741577698	10274.998446680462	14908.324522238785	12612.961037333855	5717.668500873799	9066.27962973326	5114.712363337096	9681.160025517309	6138.354717344871	10316.70094027255	14428.244453697134	3522.490283340168	21650.06908670598	4835.443713777447	7489.843014592521	10306.121641592665	4978.8724675443145	8552.784358686245	13153.053269719838	5416.938622742693	5269.4948412593685	6202.4932385393995	7041.327808293763	2730.968366325148	6174.243653271046	10241.83954542416	9509.324606943217	4090.4413434017956	10821.016117183155	4081.5031778440934	3443.432492841496	7972.398013841331	9091.831405245435	7788.667452434881	8641.679960860272	5584.65890619256	3467.8038791451854	16949.483979247037	7697.888205808723	8140.881558295943	6235.403400885395	8682.86357937815	15545.291368069687	12602.836063755109	8136.735543628234	4173.830956110692	9562.609378676723	11446.093234709146	8244.922386378354	7098.918104243309	5242.578260474478	7330.951394696041	11028.58112980132	10208.083744853026	11111.662221972112	5372.1103379484075	10080.15874850485	4271.133337418274	4023.634216786067	7897.0456440378575	10385.990306488495	12411.51598554008	8893.397121108828	7423.45631378336	15595.373955097772	15551.454973904034	8305.382078705028	11347.298598940019	5758.083765364851	3783.9037604365108	3145.176880905842	4213.348357816982
ARGDEG-PWY	15.133389288498309	157.54620390009455	49.69467456881199	38.42570189420209	7.607542592812823	100.4493667477256	0.3443787759850307	22.46811298188002	223.69556109941288	124.64623538676241	11.689570046643016	41.49451347819223	2.108885136158893	11.736969362269054	2.1817279396559455	150.97330532590243	8.484157494736746	115.92814156514717	15.903316245913716	79.4519086280424	4.567638993453125	212.40570098269276	4.045270994883722	30.48853791277188	949.9298545145012	0.33360523381445056	3.7976438929612124	17.523427310074343	36.861540852625275	7.335409849168803	66.77404281578045	1141.3852665783927	3.741321798889066	10211.017014822903	0.5522730684885894	688.6531938466059	27.439019721547485	15.960393287425028	2.9771198649197106	0.5391420166856419	256.58996279210373	0.4484346188737779	146.8417363138982	635.7737707921981	99.0814644595125	596.9314582089675	1024.0766267913698	809.2881071632189	215.80232718067072	1113.7716156689582	2.062235314351803	0.04928806965488586	64.51852249347957	4.740443661980462	14.303785168884158	23.353327542492366	377.11077471857095	2.334065137055641	76.4347392570399	34.332191303507706	17.14186590947605	46.97776131495191	73.370021433068	20.268094734578447	33.774137517860616	56.468785144282315	2.4152984102916166	26.312867557197244	3.518202174905686	10.198798627235409	13.688761828892101	56.06741225322704	708.2574408112293	13.483820134724485	102.568639973262	64.5109820947437	3.4339168730222043	19.302814802961663	0.05812855165048851	155.79338909192396	7.399332573795052	49.168934296123176	8.205246538063026	2.7293997247180433	14.633387050503012	3221.743923674204	11.839622842133057	51.381254407939544	414.7087900570628	3.455338547317205	99.99071542330833	2.760478353372936	23.485072753429268
ARGORNPROST-PWY	6634.919218867667	3483.651455840633	5105.746723213432	4967.162847774396	2568.617618782014	2893.105951825892	2340.5315133501904	2533.9403302374394	4639.397168529905	3137.9696982717765	3593.2692696468253	4757.462781717016	2353.475854411293	5513.599701023133	3807.4389552837356	11313.665607622623	5597.156482469885	5358.930038121409	4194.4770216023035	8428.689258957616	8435.67129673357	6414.584475253873	1807.3906566937194	9146.061840907065	7422.652788947242	2592.1002849583147	5522.888243656871	6047.582442532492	5821.939277979088	3214.3504270052745	5690.120022441867	7614.167293158266	716.2149195688191	10885.05316171519	1983.0972475158733	3649.918588639897	5152.70658775334	2295.777092262428	2665.7171028793637	5929.841188159606	3848.7371936883233	2580.4917427818136	2148.284802982896	3297.5635084318574	2238.386752230744	3885.606332262249	7883.140475344438	2306.837113559329	1187.7658015953318	7635.180894508424	1096.305781852707	3066.926209977252	4166.3512608722585	4463.737880312582	4050.354742550613	2696.657837276026	2656.476390797548	2154.1363248640805	8676.111944397286	5951.261360799556	1857.1878935004693	6957.666220387248	2975.5208999552237	7964.846528541569	8095.795524967495	4926.480141082716	3354.0349378789933	6214.522940568802	4045.999328797683	6026.634649683096	4161.122461237891	1584.3755435303262	2727.5973651068653	5690.448407500824	3979.670442886477	6769.35706105142	3155.6736104369647	5565.476110421191	2241.5098561126993	3588.9634162632797	4024.60470789389	7512.288041915978	5634.352859626494	4230.55946723688	5619.01564382895	3613.35462307648	7506.272878363569	2998.197677941057	5734.317230197617	2348.145442971235	2421.933440920791	3380.6995878009675	3023.615573138369
ARGSYN-PWY	20223.048272557382	18795.578612145757	18601.70851976471	17877.027264762804	14935.75723347091	16948.085343032246	10682.665878607153	27130.346164617105	19468.804982462072	23816.520978862933	16998.982480884533	20487.86381656289	13638.48595990925	20027.579065442384	24374.191305332726	44870.047916030846	24258.829416118708	21453.295235497328	15542.436205731346	28262.16726109758	28659.295957616818	31509.066076566163	21662.78535507849	33453.25155985117	30839.08251327203	16151.453481317494	20317.64934517093	23689.227022058552	22454.707691618732	12854.99563831848	27083.30954780396	28385.450066043635	8555.90051887726	44135.13501119823	14568.971972585756	16922.348845341272	22894.714860208132	13526.176675493314	16816.732324049182	32213.97953752881	16209.74816373351	12795.128689132998	13143.525622889729	15025.40560864714	11539.5567236633	15077.725135645	23138.358579719767	18342.826441311823	13109.842434483933	22195.870449596016	8145.314965428465	14154.176522205036	15953.645749602789	22552.458805937837	16017.692022506324	17202.26215970357	16479.603035507287	12492.021332473918	34085.23826320963	20812.490566302138	21682.191956761122	20794.52543856013	21239.50381768148	29536.662190183073	30025.688749671255	17563.714252341855	18101.717529270125	22121.51575711203	26363.00922241851	23466.373568771312	13684.423039050993	13259.062946814554	19224.77418073441	25895.978132742104	18931.54287649117	22048.771521750077	16747.045548422862	25069.976687396018	18754.397220257222	16420.634909521465	15402.081308826087	19789.964089409586	26377.537821457925	21385.607290821405	23382.793883500577	22517.070185742603	33041.994780148816	27224.321101230315	24042.137943468155	12891.126099396066	11202.184944127883	13483.245578371809	13030.905148535408
