# Constructed from biom file
#OTU ID	SRR13994159	SRR13994160	SRR13994161	SRR13994162	SRR13994163	SRR13994164	SRR13994165	SRR13994166	SRR13994167	SRR13994168	SRR13994169	SRR13994170	SRR13994171	SRR13994172	SRR13994173	SRR13994174	SRR13994175	SRR13994176	SRR13994177	SRR13994178	SRR13994179	SRR13994180	SRR13994181	SRR13994182	SRR13994183	SRR13994184	SRR13994185	SRR13994186	SRR13994187	SRR13994188	SRR13994189	SRR13994190	SRR13994191	SRR13994192	SRR13994193	SRR13994194	SRR13994195	SRR13994196	SRR13994197	SRR13994198	SRR13994199	SRR13994200	SRR13994201	SRR13994202	SRR13994203	SRR13994204	SRR13994205	SRR13994206	SRR13994207	SRR13994208	SRR13994209	SRR13994210	SRR13994211
1CMET2-PWY	19514.347613782735	15389.50775132856	11217.919449165727	23478.238073995413	19294.708271414198	16055.71991788687	13444.529751750679	22344.98695287651	11038.474893101162	18131.08105503881	22211.320644632327	18238.570907276287	15864.388958320887	15303.845177783092	15710.23297075876	16841.358391253023	23289.7242048623	19668.709955396647	20013.834625627605	20421.594420178277	19855.16189680616	29110.610769744722	18020.188885685053	29720.471959432038	24667.895169700227	26063.85038851039	16954.592694212242	15841.221785209635	18435.080670746836	20875.496190899426	19949.920750531513	27220.7925944319	26092.030181286893	18871.14481465124	15398.593246757506	15762.990397329375	19150.1940833836	15357.447310784277	15049.74063244492	15877.878720977302	17435.366205530616	10831.14080408715	11222.01710847185	15721.958538944733	12286.195240542556	15497.622665321753	17071.875320865332	13652.773217939568	15639.273990685968	14528.542822125257	12256.191347037056	18320.107571099237	18697.830713867177
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	49.158388337473916	41.907620815664984	42.58495752877768	5.696137582758085	11.297064299014052	106.60387025104993	41.490371969273994	4030.8222343379784	67.9917422556465	29.640103265890744	74.28090324310307	1548.1948657777752	25.593850525635887	722.207326938696	4.833080691869606	102.62044913289803	252.9109243269302	9.461160392528267	814.0828910312867	1.5255521958016132	44.68707871743597	2495.055889780728	77.16975231146299	5.514856198071798	373.236620922335	68.92736796905254	5.079092950874991	32.95899823646522	21.929718119419526	198.84057815320128	10.277262958204789	33.481289107409786	464.00662173553656	27.613799901909974	1629.214891513824	1416.2534175852543	1046.9993128648296	157.83047234288065	175.29452695737834	860.1129138341406	0.7703536002854409	43.874624373850246	883.5949617005828	23.05171610614879	9.515912434299759	6.622678158947298	352.03914957260963	25.670143563799908	205.661676165831	13.775425186282762	273.4456213856032	8043.860058008583	76.19847026214309
AEROBACTINSYN-PWY	30.34661885877695	4.790321164251433	74.45701371144357	2344.1131369155737	15.973087253686096	185.73512867781952	122.86212302972862	3357.470729660825	5298.450954791775	808.3251941084887	5.120645650180115	1891.6896561358542	0.0005658175291529088	1852.16690220104	24.560776310712804	2544.7291887839683	345.15251864854355	5.402859975764672	1367.4522148825174	49.00379623352342	24.958406193016977	2514.0331187763004	1767.520120281351	310.22095792140624	1634.6557512655945	434.68294074899075	688.507798322368	38.811014430164946	37.18777586013807	484.4223623241873	16.01458372324253	11.944668762257935	421.93967419334615	46.295876982377436	7065.048358179522	1526.306395575025	4585.294248283035	5.11606829408277	3.8306584821704246	581.1936023790281	29.44438868332576	180.25016291023763	3819.0297189113335	15.38964746175874	29.002055536207163	29.416134122640646	417.21872117478057	25.076084572802518	3175.841589159302	57.728068950338226	271.7523861475255	6967.045905731799	17.90806094174873
ALL-CHORISMATE-PWY	256.677400610573	336.4491811281013	518.0361632544893	5784.0621678713605	678.1314441672757	1222.237172935289	482.73850610754096	6977.579662603503	7334.187064078443	2423.4839742146396	730.0314820092328	5034.405690413384	257.34663806002095	6122.8381938978155	187.0136228760759	4970.047764221136	1977.1316340022502	290.02042679045235	4985.144507925281	394.98273317486894	462.95235910302756	8697.86659091213	4010.043326041868	3053.999577031053	4984.871362860872	3619.0743409521915	2155.3991085422167	379.82733195822436	373.91235669380876	1885.6106907124283	385.91786854310976	348.7769159585169	2853.310238960044	698.5445549742494	10307.70290026652	3614.35155122815	9617.636452123503	1147.7770393446349	657.1644644179597	2149.7327845123527	208.66317610814903	1488.548925081905	6237.387535458208	190.0443195054159	187.55622188980718	269.1458258162406	1892.808129417259	164.43800782193483	5793.043864563952	479.333020467058	1334.449272564868	12412.745652158274	254.9344879883106
ANAEROFRUCAT-PWY	18101.75668849977	11752.523905963004	8240.76211393137	22739.450431166362	22363.484545610634	13449.441456484581	7105.938203114592	22228.153565676155	12331.97689235591	21264.665097056346	15849.057441694507	19208.977587398786	14957.220240659022	15236.10616740281	15547.232275418877	16520.294634675694	23235.371445554887	16175.418993339496	27453.08915422482	20521.68806674651	17686.286459246512	32524.43874578798	17402.47901342867	43788.60806441521	26255.949429362197	31090.02841974682	14915.915491729464	20917.97534188238	11922.72347016927	20712.94532549318	16734.602558300136	24664.118131488543	22972.873332607705	20243.036331422714	16123.891443350616	15279.719642316133	24204.81714984881	23950.44874242804	14931.790535451579	12923.034115403303	10541.911052478341	24448.68031798893	12177.45223441884	17585.575519043494	13536.737997856937	9932.228136115296	18976.715526221327	8272.79673643909	14984.470617393172	11843.6054830888	11666.64830013565	20396.2136956316	16358.58081851581
ANAGLYCOLYSIS-PWY	28424.187384492125	26237.273566521333	18392.116559210768	33376.199974492374	28216.973396099784	23243.20790766492	33221.65220885639	28901.967418150973	14189.229258786165	29673.541664843833	31208.763115722824	25803.727784086703	27953.984840639423	21375.216872157467	18803.096731743834	21824.25566948508	33467.57012603736	30498.14472356032	28645.05368533854	30079.516317450452	34118.01881050581	40353.94481478745	25723.182564095772	45996.433178284264	36326.62795492862	34511.90903392742	22021.347091597556	26045.87180153703	27651.473329137836	25072.061984699933	29840.092016423452	43004.488446000716	38575.44352338437	25658.747042389663	20137.24276885659	24433.830619254397	27472.801393590784	27139.551160313444	25018.132400661678	22473.278464485065	28178.567951884135	26298.613670907824	13902.34113682055	26819.120268764807	16440.048090749257	24564.480842483816	29899.235417491396	22057.17309644386	21341.77352689573	19640.73002623512	17513.85005573023	23965.412327276415	30272.927177731777
ARG+POLYAMINE-SYN	4050.2599509654924	3701.1468326198437	2661.7144698154725	11877.991787636354	4653.231188598996	5825.795169808635	2056.35157269174	10567.779166960094	8131.0953888434	10331.834046037706	5647.993433412839	8826.180191466092	2829.218756464068	9717.23564101511	1993.9083096935549	8611.157606762596	11247.390001399324	4005.5956806703875	8229.562939769483	2353.2918712521123	7584.706762749011	14590.78066599601	8660.989405972794	7709.2504368412065	11893.783880690786	10445.14271462787	5952.782867875197	8856.124169305931	4294.389264338697	6050.126883850161	2437.982852314612	17042.192837185543	9156.85168703952	5363.212893176968	13683.250427523004	6487.571966534278	13404.129932119095	4165.888934057143	3431.0227485922965	5670.289911762924	2042.317495047651	3498.8662361581096	8373.653924956374	5446.847173655793	2692.341083824454	4627.639020727828	7407.827079839277	1710.6284199931808	10239.229404889977	3580.5332189676014	7436.187859412387	14032.888178957237	3370.6476821480283
ARGDEG-PWY	18.307295842725754	42.94676804876726	158.73719704432236	3385.9829491883584	37.77978949383292	381.30950949207397	240.6751318622178	3986.8394269725645	6204.426597185836	1291.4654266409782	51.325254008268395	3147.116933351473	29.213233102889838	4264.052735542907	39.29940207222946	3383.5071754655937	620.4333236037071	13.837945685083893	2163.8358707934985	76.06621107835363	63.97799312942906	4904.151833015137	2373.4945343199324	452.3905221016318	2775.658204796401	746.9115748532904	1052.593503689075	63.2524502144633	87.32164112116864	846.6227695237638	39.0680370052012	37.2949953153861	1387.5389434661795	104.95491791380971	9333.744964515456	2515.7161125031075	6341.839116739605	193.4907414686913	64.39417034535977	1273.9838701609387	45.21280397508583	274.73684386233225	5086.53791032597	28.854088580533084	49.79832418279062	59.03778292156721	762.0609628179391	45.878453133085515	4334.971182266814	116.28395616212627	541.4246733897475	9416.707397599557	117.67093820983904
ARGORNPROST-PWY	6309.21254936654	2140.908799758879	1351.331827431171	3684.88088875536	5989.946997564538	3149.5364734248597	475.1549718912688	8615.747360980575	1959.7301008447766	3421.581900187342	3841.8403801095337	5059.227185076297	3221.849643056132	3458.096082068697	4706.385566184884	2994.897601090443	5422.727211613218	2137.1262815436544	8298.037538186347	2106.123435475547	3027.3525249024324	7136.055619737713	2772.735265374263	16546.14099296797	5605.304154300502	10617.688832323998	4230.577425092792	5619.838141441308	2117.9711549584317	2481.108350514946	2243.226170125094	2756.9619809903334	5829.924594276529	3866.7270367683464	2688.3602698618697	5258.3383099415905	8793.712251938348	6011.1750351865885	2234.7049762878655	5427.787276978525	1191.5986870588276	5717.542903076358	4179.730871811355	3099.3572256605125	2858.8349216746096	1778.8019614705922	4343.088385543583	1524.9016659129068	2466.234386977287	1977.986200452509	1646.9429241040366	4952.212003550078	1374.2486128779135
ARGSYN-PWY	20436.18827378849	18232.10676950489	13087.634496574243	21928.943754936266	19443.642007518665	16818.852712290613	24932.991089031362	22649.890588601935	9834.243266586665	22082.90600481488	22506.91140241569	18179.954510865093	20462.39947534564	14839.264679094294	14082.015485293909	14187.159342323775	27713.053041188527	21587.630332216824	18323.26465598211	19613.568695515245	24739.44436947973	25158.183311283123	18221.714420528042	35454.048088545394	24105.195546145507	24972.109083498624	16267.794500814067	19797.68358499982	18945.973048599866	16263.406560988822	20831.74102232691	34910.59592607465	27511.329443374965	17313.119725052617	14350.629765979564	15258.746780556656	18831.423407020204	19780.029850947114	18367.294863409024	16464.744280058025	18620.306935569253	20338.068718365623	10478.639239971644	20047.431608783834	12034.554135713348	17486.32244075296	22228.856008685394	16736.97547569159	15256.889469239117	13594.817366619116	12637.497438913464	18097.170749513385	21132.40232198757
