# Constructed from biom file
#OTU ID	ERR1331785	ERR1331786	ERR1331787	ERR1331788	ERR1331789	ERR1331790	ERR1331791	ERR1331792	ERR1331793	ERR1331794	ERR1331796	ERR1331797	ERR1331798	ERR1331799	ERR1331802	ERR1331803	ERR1331804	ERR1331805	ERR1331806	ERR1331807	ERR1331808	ERR1331809	ERR1331810	ERR1331813	ERR1331814	ERR1331819	ERR1331820	ERR1331821	ERR1331822	ERR1331823	ERR1331824	ERR1331825	ERR1331826	ERR1331827	ERR1331828	ERR1331831	ERR1331832	ERR1331834	ERR1331835	ERR1331836	ERR1331837	ERR1331838	ERR1331839	ERR1331840	ERR1331841	ERR1331844	ERR1331845	ERR1331846	ERR1331847	ERR1331848	ERR1331849	ERR1331850	ERR1331851	ERR1331854	ERR1331855	ERR1331858	ERR1331859	ERR1331860	ERR1331862	ERR1331863	ERR1331864	ERR1331865	ERR1331866	ERR1331867	ERR1331868	ERR1331869	ERR1331870	ERR1331871	ERR1331872
1CMET2-PWY	29354.888621677354	51731.29790769053	26930.412274229573	32769.39412047109	38281.62688624351	52469.11250723871	43389.0693519918	24524.456693841188	39004.69366809207	81981.1393168111	53279.50179048344	40463.22194790665	45040.962564853275	24533.951660901657	63521.459060559166	31334.43114518214	32657.759876864264	34238.69790133471	58813.0946406332	43545.6024648257	87511.0245690716	36502.09050723934	54826.27563656336	52283.15794137582	0.0	43275.4103288528	70548.08342852912	29540.021568169963	62191.460785851	40419.021715367315	42303.110371878756	32998.302657365624	61144.42478885631	23075.509666966795	47080.58433788565	31353.606800992417	26372.231752846285	39583.23382045264	54073.814542161155	67451.63181101964	32910.56619447773	22599.56793130463	45040.18908569722	37910.87301619426	28731.27769447777	68011.51531971474	22105.125576990013	76774.99803791099	51626.87957579739	67060.40276397055	36125.762560102055	37716.70533372042	42316.850002494226	36270.96252642465	36766.729864735615	60288.38246216138	59358.906301272014	40670.07127280977	74973.4871845283	69459.56796017052	39629.644337453414	25959.750567211555	53606.88234422322	49096.9530313687	28109.618217065334	22717.55935904395	60562.28286984633	33012.70996623818	36456.36390472504
3-HYDROXYPHENYLACETATE-DEGRADATION-PWY	174.48351041261913	1324.3400159489538	5707.788572683403	3757.5360446688173	0.5961303722360749	48.62161624079141	165.19536137939744	1.481463537803584	446.50543440163875	41.522444413974554	354.1115166365206	68.94492181689571	52.834225562292055	27.00212757904981	76.28684296801144	63.627699413205335	1546.1644988224866	211.09158576773987	506.5272778233296	16.393437925826706	91.2225439625102	192.1574377174475	66.90106543270522	1378.7665864719902	0.0	259.1938887045791	73.60934618173917	329.02134693869596	544.403504717193	34.84309913498305	30.28447967730439	140.37707096068556	52.98815548064664	11.410904924871913	142.17279412589707	37.58421335787228	21.332182122556375	222.32090001309078	29.76337832454333	165.92246991014952	203.05796405528116	8.144402612566893	32.8737658158295	229.6624394218814	109.04499759223994	184.89512428963673	166.51863221291285	503.06016978148375	40.72967001971436	133.33336177465762	21.274350828795384	77.7026448532188	52.98430108061507	28.711788850194253	22.70543120199854	14.434551925619349	277.0299701387666	142.38479350664423	742.7072060497637	269.38561343511543	1525.364530330097	25.710174711353762	445.35735182600206	23.079747634998643	348.6419296430552	0.027601162581266887	873.2456063677947	82.8637814338204	56.86171897284188
AEROBACTINSYN-PWY	123.61185255952003	245.1980311861975	1183.3822049711762	4087.3657385136853	0.000366830233571547	0.010057900841692984	66.38963531421474	31.877286369437872	3.2957234648840688	48.197759410872	126.2762858027969	46.953545329203436	437.02902824874906	409.28447605212284	106.44211277479047	0.15250088729858216	85.57993382469553	9554.967506640214	269.11200882375374	1.7023451028126402	34.52529354609941	2241.756894910994	1598.9200454163326	2439.877482407853	0.0	37.03614775032107	1.9160256651812628	96.83166854145956	20.292862205699716	36.97457858258339	33.34735766392612	1.1969051386252068	0.01133662505571254	86.80092853384456	3.7185920451583985	0.005585900307824801	437.5960204423741	637.676527589771	17.535007963038137	253.7638244454512	228.87068680121806	129.34489143507065	41.76751296004851	2706.795191921928	260.27478143786226	5085.184922602857	48.650952300180585	0.016352872880858068	1080.4397429486874	5.919488399852646	159.41259539754583	17.430401322883423	48.678178421295584	138.67197932205679	21.786666668502875	93.82018740546543	218.50406951876232	193.98975093101592	425.218609712695	55.459290544345556	7998.860340937141	4.463030360196729	1335.1294479496887	4.713887084362131	4.003054293975942	0.0	35.27848113639228	0.0	797.6181217347395
ALL-CHORISMATE-PWY	1086.6321209450234	5297.625242716772	13904.031422444956	16556.707566522484	42.19726647497998	297.8655329195792	1075.3528826266092	347.373188238235	2039.2871402020082	1074.9240211477068	3744.0993117239127	603.0891145377118	2681.7625474029455	2305.074509931178	1104.7325599555306	355.1015576541373	5347.463316174765	21130.126479335708	3332.9206154926005	74.21657352194268	935.0417680126372	9162.881753921843	12398.96056806991	10306.994354286197	0.0	1291.6478150467196	757.1094195200629	1805.00825591129	1772.0636074327565	835.4995925589328	1456.494427945764	1367.5260496068968	508.9245437150106	1021.984696972578	694.7255247253842	639.8943072855873	2239.308158058959	5717.990694479338	1329.8915497893909	2306.016039000513	1846.4341110766409	1288.5391745035124	1164.2534681389025	9394.802641835577	1960.8873484975961	23131.3528099111	1809.2415243886255	3928.519591270001	6034.256556589444	2974.7774104458235	2093.7095590392673	702.4959258838288	622.8109352733684	1202.952456461571	891.7653626344733	2048.041808631508	4628.282807936826	4057.0194468072664	3158.6184995523736	1944.8896136108033	21817.67751863448	126.37218625448787	9945.241234381992	263.2598342899457	1500.5119341538884	0.0	3818.1104130698504	154.6446641645691	5288.14344697326
ANAEROFRUCAT-PWY	31094.986216867735	50489.41066596768	29149.502630879353	32829.75354014298	33949.822309183895	57435.80142850309	38552.49815486635	25253.954951550048	43930.63749346446	30667.86641628168	50460.155518880056	43960.540032205	45289.48896908544	25766.731310683896	41839.01901146869	24993.68062121559	24666.39018073872	30723.352002696425	60274.73689947017	45280.643233747105	57409.12604606103	31060.075226210345	56485.273939764615	32073.705625660405	0.0	45490.1694052462	74759.92760950298	26812.46795577976	57610.80429669389	31293.099059871587	42248.59746011628	35170.52135730353	71737.01381618374	20307.98877463164	49195.93184991555	30092.204143209907	29028.2415599692	40518.305706562736	45349.2073172568	78201.1239597334	25770.765678170803	26710.21363413666	47372.12530632968	36894.15532039701	29954.790792632783	55105.69870084621	21293.991016701664	81253.56732584625	52314.07886236301	80348.38580629604	38386.767646653745	42212.2569292674	32643.899393363838	38313.36312865209	38327.482741309366	68754.81597272391	52777.65480498983	37370.98316557321	74750.00368936127	53078.73172542163	35837.84306606761	29529.84900453363	50823.25504193945	49323.96382797454	30016.264042490144	24459.10558026611	62769.74594235121	19967.232404360468	38164.31181205543
ANAGLYCOLYSIS-PWY	39359.36728580644	79936.43350227906	38070.230131805576	47451.64991927748	51778.46968551049	76023.178670431	61482.3391451326	34756.3937137864	58276.98744126796	59999.9745234371	70890.5012701273	57755.897794829565	65309.87026924477	33452.59957241776	93692.14643157045	46232.28082185338	44681.92823195677	42465.950326295584	82134.3564278604	67052.16751819114	117996.97996635035	50523.16803086806	74775.20079146283	74195.85355193586	0.0	61418.443590036986	102891.32318452359	44827.59045540864	85502.77422228402	53304.24182470369	59641.7124782686	46114.10286544418	91445.89339075926	36228.02868304182	64768.76221903312	40392.59117243866	35378.7769505703	53704.369877463854	73104.47849639972	98026.54686995168	42835.816362096644	31532.161913646047	60984.306071550935	51663.87285621409	36410.09370074399	87173.74536234408	30717.09624131936	110089.99656719799	67892.1042557993	96903.1295966195	48665.06778619457	52847.83833381288	54260.05814724812	48281.986850674795	50514.54658213448	88859.59013317901	86094.28140859012	54588.99663053395	116098.60798645194	91177.11753307126	51117.74413194475	36118.615559383885	73966.7346401136	68378.04655022905	39015.596525162044	28834.35615088932	86621.83418011475	48847.287707482385	53251.59723629837
ARG+POLYAMINE-SYN	11138.875503447498	9075.915787392198	13483.060838785132	16967.5030719156	4889.151251942389	5267.717120908316	4768.746709208221	2824.77778903718	9285.867819608193	19769.897139646208	10982.552709341084	13243.075835122876	9295.749975063478	9137.038628868844	14915.614733926988	4334.363751826372	6411.078393499257	21173.424920101563	11400.351724721144	5416.416591225988	6277.688916937173	11375.701632259126	25663.485534380205	11436.87281024939	0.0	14356.968034019452	11856.170083670597	13515.467209650285	19669.51011226707	3356.8637893544656	5763.790238904192	7948.308682488833	10215.508034130908	3267.898233770886	7133.312780590682	6226.337087340893	5153.28104534221	14584.307369795397	18719.42602247222	22442.916720096982	10376.048000281195	5873.913559292479	16213.32550600448	16592.391882314143	9745.855537648175	25867.560821528765	7199.562715442919	22983.6103036411	12780.206392128866	13512.145435393713	6836.507037685596	7852.02326122539	4860.925451554769	4754.08970838617	15263.039175822532	19213.54830700982	14757.374906957564	10573.084981250022	14387.626879817988	11799.056306882221	23282.309082812233	5593.384750300062	12166.538605904416	2681.1906060764923	10194.996201433287	9606.895275171113	24195.665036520233	6868.5048941139385	17752.51111131004
ARGDEG-PWY	88.07679316332114	2275.1946659786904	8551.445468170074	5478.505237920262	0.1055099653459162	29.720874734961765	84.92295440875853	26.679350881868235	694.2267302334053	58.07284443148729	165.08293780806383	10.032112962894361	323.3414544943259	365.8685362268313	177.90287332540953	18.216113176444335	1953.7994059859254	6355.875322356255	620.1964128016058	1.712169902893385	6.360192024764842	1614.8719461851638	8200.00574302844	1875.347156703616	0.0	87.69888641927692	4.699329863970912	126.34550347602226	31.043336984330303	19.489010300281375	86.56830631745848	56.60993433621834	9.85611148259444	76.4191445446446	159.45940073097805	9.183806325759699	371.3186758822177	476.1965334060279	15.953653888792825	226.01644542360842	130.42684197941554	106.73178441576128	36.227077844129674	2325.969091376144	321.59604409931563	3676.6860040450997	16.624342802678548	521.3178650640884	812.8002017500737	14.94128883304402	104.67294383612666	17.751742388121087	25.03118485784137	117.57418118355271	15.099632434205585	90.62178238554355	349.8486532538172	148.8156662196836	4.08207575074876	127.75409052331875	7396.478909396539	3.06169235479591	937.0573281694426	4.009203533274249	619.1080112147488	0.0	32.001345582962124	3.017510409515601	617.5271942018896
ARGORNPROST-PWY	11289.125680981773	3193.595185508084	8879.198061742378	5547.736893384853	2783.622313975489	2987.2995257459957	3846.867586904888	1982.6552651782752	2306.5431934392363	60060.25076438762	21918.797548588736	3031.2532500869743	4230.762436014583	3588.5265580614882	8468.623580561429	3086.102568811631	3733.6257046275364	8725.088019459892	13500.65725060013	2326.7127289621403	6846.307633559525	4183.032294215649	8669.980289388102	2522.474158212923	0.0	7709.701897491134	9077.280875902756	8956.817269752273	18177.74898055153	3415.015292671308	3197.2080526151854	6405.923710189407	16043.273417049028	876.1313022056258	1561.5624742177222	7664.645355733964	3243.7477511592356	11134.560790769523	23353.915765140344	14025.052298709057	13197.093312059225	3179.202189850653	5088.955070318249	8523.313111377862	12052.060259088219	10936.876090546364	7502.263206597035	19011.960177794565	3412.0502456099166	12474.006837366818	4035.238507966752	4686.229075366533	6395.335396767673	3677.9129778800057	13015.082504020962	5818.320505863296	7238.627510424225	7048.422672207601	19737.828393122083	15886.672719186885	8459.818078573777	3164.679477773435	10658.64544505689	9590.580992728757	3099.701320600722	2373.8182114364827	13468.502219578324	6591.761883978738	12548.971351404778
ARGSYN-PWY	33264.861556841584	28293.997443850756	27646.597010496607	24557.748839850014	22568.487587859774	37726.21345460163	35046.03598825755	17259.139363356004	29917.649679335187	74859.52262152603	52476.32545970966	28061.898179421823	30688.98492139503	23122.504316948158	65302.38046884731	34288.998567813665	22874.077507811737	27192.46789349938	47521.729214797124	27983.39145286103	48780.641599178176	26126.086947795837	51972.45867473039	24693.388051644415	0.0	39247.73716675622	59303.98397386214	31966.824302592315	61248.828655103345	23675.77178498739	33958.946534116236	27586.339446056605	57369.92729885921	12931.353704573743	33950.32004636247	24025.396551568192	20910.808225458066	36472.342113259685	55324.71050103415	59452.191000360384	30321.403168034012	16744.32038202965	34671.79484842185	34035.21857684262	26420.354483470794	54549.52305315501	22391.589355348548	69382.22081558066	37408.79017322765	54975.82058971054	30259.175415209207	32042.17772156314	23491.741814215293	28047.06206614226	38022.77622899738	44844.55925800115	35842.760917438296	34917.05604942375	79885.81023697287	65070.48092608833	33263.99364378675	22855.12758228361	39943.36491572723	34081.71500234683	25251.679210869483	18112.06019816976	63249.18375931694	36818.18830520796	36922.611758463776
