	ERR1331785	ERR1331786	ERR1331787	ERR1331788	ERR1331789	ERR1331790	ERR1331791	ERR1331792	ERR1331793	ERR1331794	ERR1331796	ERR1331797	ERR1331798	ERR1331799	ERR1331802	ERR1331803	ERR1331804	ERR1331805	ERR1331806	ERR1331807	ERR1331808	ERR1331809	ERR1331810	ERR1331813	ERR1331819	ERR1331820	ERR1331821	ERR1331822	ERR1331823	ERR1331824	ERR1331825	ERR1331826	ERR1331827	ERR1331828	ERR1331831	ERR1331832	ERR1331834	ERR1331835	ERR1331836	ERR1331837	ERR1331838	ERR1331839	ERR1331840	ERR1331841	ERR1331844	ERR1331845	ERR1331846	ERR1331847	ERR1331848	ERR1331849	ERR1331850	ERR1331851	ERR1331854	ERR1331855	ERR1331858	ERR1331859	ERR1331860	ERR1331862	ERR1331863	ERR1331864	ERR1331865	ERR1331866	ERR1331867	ERR1331868	ERR1331869	ERR1331870	ERR1331871	ERR1331872
ERR1331785	0.0	0.8624	0.9453	0.9406	0.893	0.8751	0.8797	0.8415	0.8797	0.9368	0.8164	0.9106	0.8998	0.8889	0.6738	0.7611	0.938	0.9218	0.8784	0.883	0.909	0.9154	0.8578	0.9589	0.8908	0.9005	0.6753	0.8727	0.9146	0.9212	0.8472	0.8603	0.9261	0.8397	0.9247	0.7977	0.8615	0.9214	0.8745	0.9349	0.8429	0.8586	0.8444	0.8023	0.8773	0.8683	0.9412	0.8145	0.9296	0.8133	0.8968	0.9294	0.7744	0.9215	0.9022	0.8994	0.9202	0.7669	0.846	0.8997	0.8369	0.8937	0.8473	0.9727	0.8313	0.9231	0.7681	0.8658
ERR1331786	0.8624	0.0	0.9562	0.647	0.8835	0.7058	0.7764	0.6657	0.9442	0.8876	0.8986	0.8875	0.6915	0.8112	0.8776	0.9059	0.7561	0.9346	0.9003	0.5121	0.8748	0.9051	0.8733	0.9527	0.8803	0.7764	0.9498	0.8455	0.7882	0.8727	0.9076	0.8316	0.4283	0.8402	0.8048	0.7081	0.9056	0.9801	0.7414	0.9568	0.8277	0.8953	0.9023	0.9139	0.8671	0.906	0.9265	0.7798	0.7982	0.824	0.7727	0.8175	0.851	0.9752	0.7048	0.6799	0.9247	0.9084	0.9107	0.8109	0.7628	0.766	0.8296	0.8778	0.7293	0.8859	0.9002	0.8874
ERR1331787	0.9453	0.9562	0.0	0.8003	0.9651	0.9532	0.893	0.9815	0.9608	0.9873	0.9513	0.9822	0.944	0.9255	0.9372	0.9598	0.8738	0.9088	0.9707	0.9691	0.9687	0.9056	0.9123	0.8984	0.9851	0.9013	0.8842	0.9785	0.9895	0.9844	0.9058	0.966	0.9778	0.9638	0.9734	0.8966	0.912	0.9854	0.9814	0.9743	0.9379	0.9213	0.8724	0.9565	0.9062	0.895	0.9859	0.9073	0.8668	0.8936	0.9346	0.9894	0.9667	0.9796	0.9816	0.9671	0.967	0.9627	0.9762	0.8984	0.9802	0.8513	0.9788	0.982	0.971	0.9884	0.9326	0.919
ERR1331788	0.9406	0.647	0.8003	0.0	0.8825	0.6871	0.8426	0.755	0.9512	0.8905	0.9395	0.8762	0.7937	0.8214	0.953	0.9553	0.6585	0.6315	0.9399	0.716	0.8778	0.727	0.8513	0.7571	0.888	0.8111	0.9772	0.8605	0.7975	0.8522	0.9277	0.8966	0.6548	0.8511	0.7879	0.6623	0.8814	0.9755	0.7733	0.9685	0.802	0.9109	0.7424	0.9505	0.6907	0.9068	0.9354	0.737	0.8837	0.8401	0.7847	0.8262	0.8953	0.9806	0.8093	0.8207	0.9189	0.9326	0.9468	0.5167	0.819	0.7575	0.8614	0.9692	0.7306	0.9067	0.9694	0.8668
ERR1331789	0.893	0.8835	0.9651	0.8825	0.0	0.7026	0.7526	0.6673	0.76	0.8704	0.8417	0.7177	0.756	0.87	0.9268	0.9263	0.8429	0.8932	0.7904	0.8057	0.6596	0.7634	0.8592	0.7096	0.839	0.8439	0.922	0.7839	0.766	0.7121	0.8502	0.9094	0.8639	0.7373	0.8146	0.841	0.8677	0.9152	0.7626	0.8918	0.8291	0.8914	0.857	0.9271	0.7662	0.8491	0.8794	0.7285	0.8909	0.8217	0.799	0.8043	0.7942	0.9225	0.8538	0.843	0.7902	0.9092	0.8163	0.7789	0.836	0.8175	0.5646	0.9801	0.8473	0.862	0.8928	0.8998
ERR1331790	0.8751	0.7058	0.9532	0.6871	0.7026	0.0	0.7173	0.75	0.7377	0.8889	0.8729	0.7276	0.7196	0.8919	0.8989	0.886	0.7143	0.9291	0.8603	0.752	0.7456	0.7702	0.8725	0.7696	0.8553	0.8396	0.9087	0.7758	0.8428	0.7175	0.8932	0.913	0.6777	0.7037	0.7699	0.642	0.8917	0.8994	0.7942	0.9478	0.8424	0.7806	0.8466	0.9147	0.8841	0.8861	0.9191	0.6858	0.9285	0.8083	0.7646	0.7867	0.8345	0.8866	0.8242	0.8919	0.8597	0.8701	0.8582	0.8127	0.8231	0.8577	0.7334	0.9689	0.5901	0.8872	0.8352	0.9208
ERR1331791	0.8797	0.7764	0.893	0.8426	0.7526	0.7173	0.0	0.7464	0.778	0.8999	0.8261	0.7754	0.5434	0.7622	0.9281	0.8897	0.7138	0.8651	0.808	0.75	0.724	0.7577	0.8393	0.7891	0.8242	0.5808	0.8414	0.8353	0.7796	0.7667	0.6121	0.7262	0.7651	0.7426	0.8493	0.859	0.863	0.9212	0.7241	0.9434	0.8035	0.5817	0.8464	0.9228	0.8551	0.6701	0.8634	0.79	0.7519	0.6081	0.6444	0.8409	0.7951	0.9453	0.7639	0.7728	0.8355	0.8771	0.8922	0.8499	0.5187	0.6233	0.5959	0.9875	0.8437	0.8618	0.8647	0.8874
ERR1331792	0.8415	0.6657	0.9815	0.755	0.6673	0.75	0.7464	0.0	0.7008	0.8159	0.7375	0.7039	0.6919	0.7034	0.8533	0.8654	0.724	0.8445	0.7412	0.5825	0.7215	0.8015	0.7702	0.9556	0.6375	0.6196	0.79	0.6232	0.5751	0.6901	0.6924	0.6029	0.5843	0.6374	0.6475	0.7386	0.724	0.8654	0.5473	0.8637	0.6373	0.8474	0.7882	0.8496	0.7198	0.7779	0.8418	0.5601	0.741	0.7276	0.6547	0.7182	0.7161	0.8327	0.604	0.7253	0.7457	0.6966	0.7697	0.7046	0.6436	0.6399	0.5701	0.9959	0.7267	0.7691	0.8252	0.7802
ERR1331793	0.8797	0.9442	0.9608	0.9512	0.76	0.7377	0.778	0.7008	0.0	0.919	0.7741	0.6573	0.7132	0.8517	0.8417	0.859	0.8281	0.9092	0.6969	0.7948	0.7322	0.7732	0.7576	0.6736	0.6765	0.7915	0.7715	0.77	0.616	0.4929	0.7073	0.6336	0.8038	0.528	0.7416	0.8613	0.7387	0.8145	0.7436	0.9082	0.5822	0.8542	0.6888	0.8304	0.8252	0.8211	0.7607	0.6195	0.7729	0.7035	0.8103	0.8452	0.7027	0.8208	0.7786	0.9093	0.7199	0.6673	0.7555	0.8629	0.7064	0.8312	0.6778	0.9669	0.6371	0.848	0.8187	0.8571
ERR1331794	0.9368	0.8876	0.9873	0.8905	0.8704	0.8889	0.8999	0.8159	0.919	0.0	0.8634	0.8674	0.883	0.902	0.9672	0.964	0.8762	0.8805	0.8825	0.8262	0.8237	0.8782	0.9163	0.9843	0.8286	0.8182	0.9388	0.7871	0.8175	0.8509	0.8673	0.926	0.8329	0.8208	0.8118	0.8908	0.8584	0.9297	0.8159	0.9135	0.906	0.927	0.892	0.9299	0.8591	0.8693	0.9269	0.8345	0.8981	0.8975	0.8214	0.813	0.8977	0.9212	0.8332	0.8807	0.844	0.92	0.922	0.8438	0.8918	0.8247	0.8232	0.9943	0.8846	0.8598	0.9685	0.8926
ERR1331796	0.8164	0.8986	0.9513	0.9395	0.8417	0.8729	0.8261	0.7375	0.7741	0.8634	0.0	0.8277	0.7849	0.7161	0.8136	0.7778	0.862	0.8002	0.7679	0.7873	0.8037	0.8271	0.7896	0.9796	0.7483	0.7952	0.7089	0.6714	0.8072	0.811	0.6017	0.6446	0.8245	0.6911	0.7718	0.8981	0.6527	0.8483	0.684	0.8367	0.7253	0.8363	0.6968	0.7002	0.779	0.7256	0.8453	0.6893	0.7367	0.7262	0.6719	0.8456	0.7265	0.7749	0.7762	0.8764	0.7782	0.6355	0.7151	0.7947	0.737	0.7879	0.6748	0.9947	0.8514	0.8224	0.8254	0.757
ERR1331797	0.9106	0.8875	0.9822	0.8762	0.7177	0.7276	0.7754	0.7039	0.6573	0.8674	0.8277	0.0	0.7454	0.7759	0.9332	0.9154	0.7974	0.8689	0.7534	0.7636	0.6355	0.7539	0.8481	0.8363	0.7178	0.7675	0.8307	0.7737	0.6856	0.7067	0.7699	0.8177	0.8132	0.6287	0.749	0.7865	0.8008	0.8813	0.7308	0.8263	0.7333	0.8333	0.7912	0.8491	0.7251	0.823	0.7495	0.6884	0.8189	0.7534	0.7825	0.8413	0.7808	0.8037	0.7042	0.7665	0.7631	0.7534	0.7263	0.7636	0.8082	0.7755	0.6411	0.9943	0.8092	0.8276	0.8759	0.8516
ERR1331798	0.8998	0.6915	0.944	0.7937	0.756	0.7196	0.5434	0.6919	0.7132	0.883	0.7849	0.7454	0.0	0.6929	0.898	0.8948	0.7045	0.822	0.7447	0.6616	0.7138	0.6843	0.768	0.7401	0.7686	0.7397	0.8814	0.8256	0.6983	0.7023	0.7201	0.6125	0.6556	0.656	0.8331	0.8179	0.7633	0.8135	0.6516	0.8824	0.7187	0.7542	0.7363	0.8576	0.7607	0.8218	0.7674	0.743	0.6613	0.7105	0.7114	0.822	0.7066	0.8717	0.6492	0.6575	0.7597	0.827	0.825	0.8064	0.5786	0.6418	0.5807	0.9756	0.808	0.8208	0.8693	0.7869
ERR1331799	0.8889	0.8112	0.9255	0.8214	0.87	0.8919	0.7622	0.7034	0.8517	0.902	0.7161	0.7759	0.6929	0.0	0.8923	0.8636	0.8083	0.804	0.6967	0.7485	0.8268	0.8002	0.7349	0.889	0.8154	0.7552	0.8147	0.7236	0.7222	0.8637	0.7481	0.6754	0.7895	0.7867	0.8462	0.8536	0.6949	0.7671	0.6653	0.7029	0.6765	0.8433	0.6922	0.758	0.7209	0.7522	0.7761	0.7345	0.7264	0.7869	0.7642	0.8053	0.7601	0.7601	0.741	0.7521	0.7741	0.7573	0.8003	0.8022	0.6766	0.6871	0.7219	0.9921	0.8726	0.8543	0.8317	0.6655
ERR1331802	0.6738	0.8776	0.9372	0.953	0.9268	0.8989	0.9281	0.8533	0.8417	0.9672	0.8136	0.9332	0.898	0.8923	0.0	0.6821	0.9602	0.9577	0.8861	0.9014	0.9482	0.9478	0.8343	0.971	0.9022	0.9113	0.7266	0.892	0.9371	0.9127	0.8119	0.793	0.9281	0.8595	0.9211	0.7766	0.8562	0.9243	0.8017	0.9308	0.792	0.8835	0.8456	0.7725	0.9218	0.8664	0.9361	0.8034	0.8901	0.8612	0.8768	0.9566	0.7707	0.9331	0.9021	0.9481	0.9338	0.7229	0.7835	0.9149	0.8482	0.9379	0.8937	0.9518	0.8469	0.9362	0.7062	0.865
ERR1331803	0.7611	0.9059	0.9598	0.9553	0.9263	0.886	0.8897	0.8654	0.859	0.964	0.7778	0.9154	0.8948	0.8636	0.6821	0.0	0.9246	0.9376	0.9036	0.8744	0.9395	0.9402	0.8731	0.9718	0.881	0.8952	0.7314	0.8841	0.9014	0.9253	0.8082	0.8132	0.907	0.8621	0.9208	0.816	0.8572	0.8985	0.8709	0.9395	0.7753	0.8518	0.8474	0.8356	0.9007	0.889	0.9258	0.782	0.9332	0.8704	0.8887	0.9457	0.7659	0.921	0.8428	0.9031	0.919	0.6797	0.8409	0.9273	0.8035	0.9266	0.8958	0.9696	0.8484	0.9483	0.6968	0.8704
ERR1331804	0.938	0.7561	0.8738	0.6585	0.8429	0.7143	0.7138	0.724	0.8281	0.8762	0.862	0.7974	0.7045	0.8083	0.9602	0.9246	0.0	0.8753	0.8556	0.7151	0.8287	0.7502	0.8958	0.8734	0.8176	0.801	0.9167	0.8017	0.7824	0.7795	0.8099	0.8161	0.6283	0.6625	0.7317	0.7542	0.8981	0.9259	0.7289	0.9547	0.8455	0.7806	0.9044	0.953	0.8155	0.844	0.8298	0.7025	0.8741	0.6257	0.6827	0.751	0.8334	0.9374	0.7456	0.7561	0.87	0.8814	0.8758	0.7784	0.7397	0.7268	0.7436	0.9	0.7204	0.8111	0.9254	0.9034
ERR1331805	0.9218	0.9346	0.9088	0.6315	0.8932	0.9291	0.8651	0.8445	0.9092	0.8805	0.8002	0.8689	0.822	0.804	0.9577	0.9376	0.8753	0.0	0.9065	0.8382	0.8333	0.6808	0.869	0.8012	0.8017	0.8366	0.9239	0.8001	0.8381	0.9	0.7914	0.8596	0.8641	0.809	0.816	0.8484	0.7886	0.9181	0.7765	0.9238	0.891	0.8695	0.6982	0.8918	0.6392	0.8453	0.9301	0.7536	0.8469	0.8545	0.8212	0.8739	0.8562	0.9041	0.8468	0.8447	0.7884	0.8706	0.8988	0.4201	0.8346	0.743	0.7429	0.997	0.9197	0.8592	0.9467	0.8256
ERR1331806	0.8784	0.9003	0.9707	0.9399	0.7904	0.8603	0.808	0.7412	0.6969	0.8825	0.7679	0.7534	0.7447	0.6967	0.8861	0.9036	0.8556	0.9065	0.0	0.7639	0.7775	0.7777	0.7832	0.875	0.7198	0.8387	0.8366	0.7418	0.7701	0.6915	0.7067	0.7333	0.8551	0.7136	0.7234	0.9179	0.7407	0.768	0.7178	0.7043	0.7028	0.9118	0.6695	0.8128	0.7653	0.7962	0.7564	0.7167	0.7987	0.7916	0.7688	0.8047	0.7648	0.7749	0.7805	0.8287	0.7695	0.7661	0.7179	0.81	0.7562	0.7765	0.7048	0.9952	0.8572	0.8206	0.8981	0.8168
ERR1331807	0.883	0.5121	0.9691	0.716	0.8057	0.752	0.75	0.5825	0.7948	0.8262	0.7873	0.7636	0.6616	0.7485	0.9014	0.8744	0.7151	0.8382	0.7639	0.0	0.7897	0.8149	0.8433	0.9605	0.6786	0.6722	0.8655	0.725	0.6485	0.7367	0.7784	0.7208	0.4312	0.7042	0.6575	0.6986	0.8033	0.8648	0.6523	0.8939	0.737	0.8985	0.8414	0.8848	0.806	0.8003	0.8247	0.6305	0.704	0.7652	0.6559	0.7266	0.8008	0.8952	0.6053	0.5696	0.8277	0.7924	0.865	0.7325	0.7174	0.7076	0.7358	0.9901	0.7709	0.8397	0.8859	0.83
ERR1331808	0.909	0.8748	0.9687	0.8778	0.6596	0.7456	0.724	0.7215	0.7322	0.8237	0.8037	0.6355	0.7138	0.8268	0.9482	0.9395	0.8287	0.8333	0.7775	0.7897	0.0	0.6899	0.8762	0.8212	0.7522	0.755	0.8865	0.7452	0.7196	0.701	0.7017	0.8606	0.8163	0.698	0.7255	0.8587	0.7805	0.8883	0.7269	0.9206	0.8552	0.8714	0.8277	0.9016	0.753	0.7702	0.8381	0.7316	0.7873	0.8122	0.7406	0.7654	0.8245	0.9012	0.7364	0.8042	0.7406	0.8314	0.818	0.747	0.8302	0.715	0.531	0.9956	0.8746	0.8255	0.9514	0.8283
ERR1331809	0.9154	0.9051	0.9056	0.727	0.7634	0.7702	0.7577	0.8015	0.7732	0.8782	0.8271	0.7539	0.6843	0.8002	0.9478	0.9402	0.7502	0.6808	0.7777	0.8149	0.6899	0.0	0.8371	0.6529	0.7971	0.8566	0.9117	0.8261	0.8316	0.7223	0.8311	0.8817	0.7912	0.5949	0.7968	0.8618	0.7823	0.9287	0.8074	0.9273	0.8219	0.8535	0.6372	0.8903	0.6459	0.8089	0.6944	0.6998	0.8576	0.825	0.8662	0.8568	0.8342	0.9239	0.6991	0.6577	0.7616	0.8759	0.8637	0.6355	0.8535	0.7252	0.7224	0.9938	0.8974	0.6119	0.9259	0.8261
ERR1331810	0.8578	0.8733	0.9123	0.8513	0.8592	0.8725	0.8393	0.7702	0.7576	0.9163	0.7896	0.8481	0.768	0.7349	0.8343	0.8731	0.8958	0.869	0.7832	0.8433	0.8762	0.8371	0.0	0.8674	0.7842	0.8297	0.8534	0.8436	0.8217	0.8042	0.8109	0.7999	0.8543	0.8123	0.852	0.7832	0.7378	0.856	0.8004	0.8492	0.7078	0.8461	0.7139	0.8333	0.7585	0.8332	0.8332	0.705	0.7801	0.7686	0.8169	0.883	0.7397	0.8607	0.8373	0.8555	0.8135	0.7702	0.8191	0.8208	0.7791	0.7903	0.8305	0.9799	0.8326	0.841	0.8087	0.7537
ERR1331813	0.9589	0.9527	0.8984	0.7571	0.7096	0.7696	0.7891	0.9556	0.6736	0.9843	0.9796	0.8363	0.7401	0.889	0.971	0.9718	0.8734	0.8012	0.875	0.9605	0.8212	0.6529	0.8674	0.0	0.9481	0.9602	0.9689	0.9445	0.8181	0.6934	0.9518	0.8809	0.9049	0.7637	0.9311	0.8934	0.903	0.93	0.9553	0.955	0.7982	0.9055	0.696	0.9538	0.7523	0.9415	0.8856	0.8085	0.9093	0.8668	0.953	0.9289	0.8248	0.9807	0.9637	0.9345	0.8523	0.9461	0.9522	0.7789	0.8354	0.8811	0.7926	0.9405	0.7866	0.9525	0.9311	0.9175
ERR1331819	0.8908	0.8803	0.9851	0.888	0.839	0.8553	0.8242	0.6375	0.6765	0.8286	0.7483	0.7178	0.7686	0.8154	0.9022	0.881	0.8176	0.8017	0.7198	0.6786	0.7522	0.7971	0.7842	0.9481	0.0	0.7152	0.8111	0.6563	0.6904	0.6955	0.6974	0.7431	0.7569	0.6836	0.6212	0.7926	0.7077	0.81	0.6618	0.872	0.7617	0.8455	0.7669	0.845	0.7602	0.7368	0.8505	0.5898	0.791	0.7661	0.7176	0.7867	0.7892	0.8013	0.71	0.785	0.7334	0.7245	0.7843	0.8089	0.7859	0.7337	0.7408	0.9796	0.8263	0.7359	0.8889	0.7858
ERR1331820	0.9005	0.7764	0.9013	0.8111	0.8439	0.8396	0.5808	0.6196	0.7915	0.8182	0.7952	0.7675	0.7397	0.7552	0.9113	0.8952	0.801	0.8366	0.8387	0.6722	0.755	0.8566	0.8297	0.9602	0.7152	0.0	0.7464	0.7472	0.6453	0.8271	0.7048	0.6909	0.7083	0.7534	0.7416	0.802	0.8037	0.9039	0.6444	0.9083	0.7449	0.8117	0.8351	0.8926	0.808	0.6443	0.8791	0.7266	0.7016	0.732	0.7433	0.8009	0.8502	0.8153	0.6892	0.7475	0.825	0.6757	0.8224	0.8195	0.6877	0.6858	0.7463	0.9868	0.8284	0.8354	0.8461	0.8409
ERR1331821	0.6753	0.9498	0.8842	0.9772	0.922	0.9087	0.8414	0.79	0.7715	0.9388	0.7089	0.8307	0.8814	0.8147	0.7266	0.7314	0.9167	0.9239	0.8366	0.8655	0.8865	0.9117	0.8534	0.9689	0.8111	0.7464	0.0	0.8048	0.8576	0.878	0.6734	0.6913	0.9145	0.8006	0.8632	0.9152	0.7909	0.8883	0.8212	0.8998	0.7626	0.8147	0.7893	0.7482	0.8456	0.7624	0.902	0.7676	0.8323	0.8027	0.851	0.9035	0.8014	0.8617	0.8509	0.932	0.8747	0.6528	0.7476	0.8917	0.8259	0.8331	0.8222	0.997	0.8715	0.9013	0.7955	0.8099
ERR1331822	0.8727	0.8455	0.9785	0.8605	0.7839	0.7758	0.8353	0.6232	0.77	0.7871	0.6714	0.7737	0.8256	0.7236	0.892	0.8841	0.8017	0.8001	0.7418	0.725	0.7452	0.8261	0.8436	0.9445	0.6563	0.7472	0.8048	0.0	0.6996	0.7289	0.7067	0.7624	0.7177	0.6579	0.6497	0.8245	0.7231	0.8012	0.694	0.8044	0.8039	0.8722	0.7781	0.7874	0.7585	0.7495	0.8623	0.6435	0.8078	0.8145	0.6906	0.7142	0.8228	0.7713	0.7645	0.8449	0.7382	0.7394	0.7849	0.7137	0.7582	0.7698	0.6123	0.9937	0.7738	0.806	0.835	0.7509
ERR1331823	0.9146	0.7882	0.9895	0.7975	0.766	0.8428	0.7796	0.5751	0.616	0.8175	0.8072	0.6856	0.6983	0.7222	0.9371	0.9014	0.7824	0.8381	0.7701	0.6485	0.7196	0.8316	0.8217	0.8181	0.6904	0.6453	0.8576	0.6996	0.0	0.578	0.7588	0.6188	0.696	0.5868	0.7041	0.811	0.7709	0.8409	0.6278	0.8876	0.5512	0.8511	0.8045	0.904	0.7134	0.8035	0.7876	0.6942	0.7237	0.713	0.7272	0.8117	0.7612	0.8483	0.6412	0.7205	0.7203	0.7633	0.8534	0.7491	0.6302	0.7232	0.6596	0.9958	0.5708	0.8252	0.8798	0.8182
ERR1331824	0.9212	0.8727	0.9844	0.8522	0.7121	0.7175	0.7667	0.6901	0.4929	0.8509	0.811	0.7067	0.7023	0.8637	0.9127	0.9253	0.7795	0.9	0.6915	0.7367	0.701	0.7223	0.8042	0.6934	0.6955	0.8271	0.878	0.7289	0.578	0.0	0.7894	0.7016	0.7742	0.5663	0.6851	0.8201	0.831	0.8186	0.7519	0.8581	0.67	0.887	0.7518	0.8935	0.7998	0.8215	0.8017	0.6477	0.7979	0.7749	0.7501	0.7661	0.721	0.8667	0.8095	0.857	0.7209	0.8096	0.7977	0.7599	0.7292	0.8098	0.7301	0.9814	0.5731	0.8176	0.8975	0.8883
ERR1331825	0.8472	0.9076	0.9058	0.9277	0.8502	0.8932	0.6121	0.6924	0.7073	0.8673	0.6017	0.7699	0.7201	0.7481	0.8119	0.8082	0.8099	0.7914	0.7067	0.7784	0.7017	0.8311	0.8109	0.9518	0.6974	0.7048	0.6734	0.7067	0.7588	0.7894	0.0	0.5766	0.8299	0.6747	0.6723	0.8797	0.6793	0.8565	0.669	0.8366	0.7439	0.6678	0.7464	0.7874	0.784	0.6737	0.8445	0.6401	0.7303	0.6473	0.5757	0.8396	0.7119	0.8404	0.7362	0.856	0.7484	0.6173	0.725	0.8083	0.6013	0.639	0.5535	0.9925	0.8702	0.859	0.8547	0.7671
ERR1331826	0.8603	0.8316	0.966	0.8966	0.9094	0.913	0.7262	0.6029	0.6336	0.926	0.6446	0.8177	0.6125	0.6754	0.793	0.8132	0.8161	0.8596	0.7333	0.7208	0.8606	0.8817	0.7999	0.8809	0.7431	0.6909	0.6913	0.7624	0.6188	0.7016	0.5766	0.0	0.7828	0.6108	0.8105	0.9107	0.738	0.8225	0.6233	0.8552	0.5688	0.7787	0.7159	0.7624	0.8119	0.7967	0.7878	0.7795	0.6708	0.7199	0.6861	0.8936	0.6977	0.7387	0.7355	0.8232	0.7846	0.5954	0.7418	0.8378	0.4808	0.7363	0.6287	0.9859	0.762	0.8572	0.742	0.7576
ERR1331827	0.9261	0.4283	0.9778	0.6548	0.8639	0.6777	0.7651	0.5843	0.8038	0.8329	0.8245	0.8132	0.6556	0.7895	0.9281	0.907	0.6283	0.8641	0.8551	0.4312	0.8163	0.7912	0.8543	0.9049	0.7569	0.7083	0.9145	0.7177	0.696	0.7742	0.8299	0.7828	0.0	0.7507	0.6952	0.7595	0.7914	0.9052	0.6412	0.9289	0.7988	0.8682	0.8659	0.9003	0.8232	0.8327	0.847	0.6907	0.7155	0.7821	0.686	0.7738	0.8881	0.9187	0.625	0.6645	0.8212	0.8319	0.8573	0.7806	0.6685	0.7519	0.7858	0.9601	0.6618	0.8351	0.9394	0.848
ERR1331828	0.8397	0.8402	0.9638	0.8511	0.7373	0.7037	0.7426	0.6374	0.528	0.8208	0.6911	0.6287	0.656	0.7867	0.8595	0.8621	0.6625	0.809	0.7136	0.7042	0.698	0.5949	0.8123	0.7637	0.6836	0.7534	0.8006	0.6579	0.5868	0.5663	0.6747	0.6108	0.7507	0.0	0.6218	0.8033	0.729	0.8146	0.6094	0.8951	0.6153	0.7525	0.6815	0.8315	0.7429	0.7952	0.6388	0.5374	0.7779	0.6309	0.6912	0.7712	0.6844	0.8469	0.5881	0.6788	0.6997	0.7473	0.738	0.7202	0.6074	0.7046	0.6141	0.9937	0.6298	0.6458	0.8213	0.8366
