	ERR1331785	ERR1331786	ERR1331787	ERR1331788	ERR1331789	ERR1331790	ERR1331791	ERR1331792	ERR1331793	ERR1331794	ERR1331796	ERR1331797	ERR1331798	ERR1331799	ERR1331802	ERR1331803	ERR1331804	ERR1331805	ERR1331806	ERR1331807	ERR1331808	ERR1331809	ERR1331810	ERR1331813	ERR1331819	ERR1331820	ERR1331821	ERR1331822	ERR1331823	ERR1331824	ERR1331825	ERR1331826	ERR1331827	ERR1331828	ERR1331831	ERR1331832	ERR1331834	ERR1331835	ERR1331836	ERR1331837	ERR1331838	ERR1331839	ERR1331840	ERR1331841	ERR1331844	ERR1331845	ERR1331846	ERR1331847	ERR1331848	ERR1331849	ERR1331850	ERR1331851	ERR1331854	ERR1331855	ERR1331858	ERR1331859	ERR1331860	ERR1331862	ERR1331863	ERR1331864	ERR1331865	ERR1331866	ERR1331867	ERR1331868	ERR1331869	ERR1331870	ERR1331871	ERR1331872
ERR1331844	0.8773	0.8671	0.9062	0.6907	0.7662	0.8841	0.8551	0.7198	0.8252	0.8591	0.779	0.7251	0.7607	0.7209	0.9218	0.9007	0.8155	0.6392	0.7653	0.806	0.753	0.6459	0.7585	0.7523	0.7602	0.808	0.8456	0.7585	0.7134	0.7998	0.784	0.8119	0.8232	0.7429	0.8179	0.8321	0.6994	0.8363	0.7551	0.8687	0.7851	0.8856	0.5817	0.8575	0.0	0.7772	0.8177	0.7159	0.7925	0.8154	0.7797	0.8429	0.7535	0.8611	0.7903	0.7714	0.5979	0.8156	0.8033	0.5753	0.7795	0.7147	0.7067	0.9951	0.8596	0.7958	0.9094	0.7418
ERR1331845	0.8683	0.906	0.895	0.9068	0.8491	0.8861	0.6701	0.7779	0.8211	0.8693	0.7256	0.823	0.8218	0.7522	0.8664	0.889	0.844	0.8453	0.7962	0.8003	0.7702	0.8089	0.8332	0.9415	0.7368	0.6443	0.7624	0.7495	0.8035	0.8215	0.6737	0.7967	0.8327	0.7952	0.7459	0.8779	0.7027	0.7959	0.7524	0.8181	0.7979	0.8293	0.7966	0.8393	0.7772	0.0	0.788	0.7921	0.7283	0.7496	0.6444	0.8305	0.7834	0.8136	0.8222	0.829	0.771	0.7802	0.7933	0.8059	0.793	0.6781	0.7825	0.9857	0.8489	0.7426	0.8733	0.7536
ERR1331846	0.9412	0.9265	0.9859	0.9354	0.8794	0.9191	0.8634	0.8418	0.7607	0.9269	0.8453	0.7495	0.7674	0.7761	0.9361	0.9258	0.8298	0.9301	0.7564	0.8247	0.8381	0.6944	0.8332	0.8856	0.8505	0.8791	0.902	0.8623	0.7876	0.8017	0.8445	0.7878	0.847	0.6388	0.8151	0.9573	0.7863	0.7787	0.8308	0.793	0.7904	0.9623	0.733	0.8323	0.8177	0.788	0.0	0.8693	0.7829	0.8521	0.861	0.8986	0.8308	0.8601	0.711	0.6812	0.7631	0.8542	0.8769	0.8353	0.8	0.7908	0.8162	0.9895	0.912	0.6835	0.9452	0.8145
ERR1331847	0.8145	0.7798	0.9073	0.737	0.7285	0.6858	0.79	0.5601	0.6195	0.8345	0.6893	0.6884	0.743	0.7345	0.8034	0.782	0.7025	0.7536	0.7167	0.6305	0.7316	0.6998	0.705	0.8085	0.5898	0.7266	0.7676	0.6435	0.6942	0.6477	0.6401	0.7795	0.6907	0.5374	0.5703	0.6443	0.7219	0.8443	0.6335	0.8544	0.6629	0.7749	0.7095	0.8202	0.7159	0.7921	0.8693	0.0	0.8241	0.6532	0.7079	0.7027	0.6319	0.8664	0.6868	0.7569	0.7586	0.6232	0.7097	0.6702	0.7388	0.6741	0.6935	0.989	0.665	0.7789	0.8195	0.7989
ERR1331848	0.9296	0.7982	0.8668	0.8837	0.8909	0.9285	0.7519	0.741	0.7729	0.8981	0.7367	0.8189	0.6613	0.7264	0.8901	0.9332	0.8741	0.8469	0.7987	0.704	0.7873	0.8576	0.7801	0.9093	0.791	0.7016	0.8323	0.8078	0.7237	0.7979	0.7303	0.6708	0.7155	0.7779	0.8352	0.9292	0.7534	0.8482	0.727	0.8771	0.7253	0.8714	0.7821	0.8488	0.7925	0.7283	0.7829	0.8241	0.0	0.7934	0.7824	0.892	0.7788	0.8815	0.7102	0.7588	0.7744	0.739	0.8312	0.819	0.6999	0.6986	0.767	0.9935	0.8904	0.7961	0.9152	0.812
ERR1331849	0.8133	0.824	0.8936	0.8401	0.8217	0.8083	0.6081	0.7276	0.7035	0.8975	0.7262	0.7534	0.7105	0.7869	0.8612	0.8704	0.6257	0.8545	0.7916	0.7652	0.8122	0.825	0.7686	0.8668	0.7661	0.732	0.8027	0.8145	0.713	0.7749	0.6473	0.7199	0.7821	0.6309	0.7585	0.8329	0.8218	0.8995	0.7055	0.9064	0.6697	0.7273	0.811	0.8569	0.8154	0.7496	0.8521	0.6532	0.7934	0.0	0.7089	0.8108	0.6842	0.9059	0.7743	0.7785	0.8571	0.7866	0.8012	0.8003	0.6308	0.6652	0.6726	0.8284	0.7801	0.8413	0.8679	0.8438
ERR1331850	0.8968	0.7727	0.9346	0.7847	0.799	0.7646	0.6444	0.6547	0.8103	0.8214	0.6719	0.7825	0.7114	0.7642	0.8768	0.8887	0.6827	0.8212	0.7688	0.6559	0.7406	0.8662	0.8169	0.953	0.7176	0.7433	0.851	0.6906	0.7272	0.7501	0.5757	0.6861	0.686	0.6912	0.6857	0.7466	0.7342	0.8748	0.642	0.8686	0.7806	0.7178	0.7798	0.8929	0.7797	0.6444	0.861	0.7079	0.7824	0.7089	0.0	0.7411	0.7999	0.8421	0.7571	0.8306	0.8098	0.7555	0.8084	0.7228	0.5933	0.6925	0.6472	0.9924	0.7405	0.8214	0.8803	0.8005
ERR1331851	0.9294	0.8175	0.9894	0.8262	0.8043	0.7867	0.8409	0.7182	0.8452	0.813	0.8456	0.8413	0.822	0.8053	0.9566	0.9457	0.751	0.8739	0.8047	0.7266	0.7654	0.8568	0.883	0.9289	0.7867	0.8009	0.9035	0.7142	0.8117	0.7661	0.8396	0.8936	0.7738	0.7712	0.7256	0.795	0.8032	0.8595	0.7741	0.8309	0.8706	0.9005	0.8639	0.8767	0.8429	0.8305	0.8986	0.7027	0.892	0.8108	0.7411	0.0	0.7391	0.8794	0.8276	0.8179	0.827	0.8913	0.839	0.7877	0.8692	0.7656	0.7626	0.9785	0.7731	0.8408	0.9161	0.8956
ERR1331854	0.7744	0.851	0.9667	0.8953	0.7942	0.8345	0.7951	0.7161	0.7027	0.8977	0.7265	0.7808	0.7066	0.7601	0.7707	0.7659	0.8334	0.8562	0.7648	0.8008	0.8245	0.8342	0.7397	0.8248	0.7892	0.8502	0.8014	0.8228	0.7612	0.721	0.7119	0.6977	0.8881	0.6844	0.8058	0.7896	0.7398	0.8761	0.7478	0.8506	0.6849	0.7923	0.7571	0.8234	0.7535	0.7834	0.8308	0.6319	0.7788	0.6842	0.7999	0.7391	0.0	0.9058	0.7892	0.8056	0.7862	0.731	0.7548	0.8147	0.7147	0.6648	0.7241	0.9871	0.7472	0.8601	0.7674	0.8534
ERR1331855	0.9215	0.9752	0.9796	0.9806	0.9225	0.8866	0.9453	0.8327	0.8208	0.9212	0.7749	0.8037	0.8717	0.7601	0.9331	0.921	0.9374	0.9041	0.7749	0.8952	0.9012	0.9239	0.8607	0.9807	0.8013	0.8153	0.8617	0.7713	0.8483	0.8667	0.8404	0.7387	0.9187	0.8469	0.8234	0.9069	0.7936	0.6457	0.7849	0.6794	0.8579	0.918	0.7988	0.8224	0.8611	0.8136	0.8601	0.8664	0.8815	0.9059	0.8421	0.8794	0.9058	0.0	0.8813	0.9434	0.8046	0.7711	0.8258	0.9097	0.8327	0.9013	0.8769	0.9955	0.8785	0.8591	0.8481	0.8175
